"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1","CỬA HÀNG ","SR/KH ","NGÀY ĐẶT HÀNG ","SỐ PO ","TRẠNG THÁI ĐƠN HÀNG ","TIẾN ĐỘ HOÀN THÀNH ","LOẠI SẢN PHÂM ","MÃ SẢN PHẨM ","TÊN SẢN PHẨM ","LOẠI VÀNG ","QUY CÁCH 
(Độ dài/Đường kính) ","SỐ LƯỢNG
(Sợi/Viên) ","TỔNG TRỌNG LƯỢNG
(Gram) ","#VALUE!","15/11/2025","LOẠI VÀNG MÃ SẢN PHẨM ","","","","","","","","#VALUE!","","  ","","","","","","","","","","","","","","","","","","","",""
"75.00%","2","PKD SĨ","KH","08/01/2026","[DHAG-26/01/01]","NGƯNG SX","","BB","CBW2.0","Dây bi 2.0mm","750W","","6","60.99","1.220","15/11/2025","750W2.0","","","","","","","","1.220","","  ","","","","","","","","","","","","","","","","","","","",""
"75.00%","3","PKD SĨ","KH","08/01/2026","[DHAG-26/01/01]","NGƯNG SX","","BB","BBW3.0","Lắc bi 3.0mm","750W","","9","48.06","0.961","15/11/2025","750W3.0","","","","","","","","0.961","","  ","","","","","","","","","","","","","","","","","","","",""
"68.00%","4","PKD SĨ","KH","08/01/2026","[DHAG-26/01/02]","HOÀN TẤT","Đã giao 15 sợi CY35FS ngày 12/01/2026","DD","CY35FS","DÂY FRANCO VUÔNG 0.35MM","680Y","","10","47.67","0.865","","680Y35FS","","","","","","","","0.865","","  ","","","","","","","","","","","","","","","","","","","",""
"68.00%","5","PKD SĨ","KH","08/01/2026","[DHAG-26/01/02]","NGƯNG SX","","DD","CY40FS","DÂY FRANCO VUÔNG 0.40MM","680Y","","5","32.37","0.587","","680Y40FS","","","","","","","","0.587","","  ","","","","","","","","","","","","","","","","","","","",""
"68.00%","6","PKD SĨ","KH","08/01/2026","[DHAG-26/01/02]","NGƯNG SX","","DD","CY50FS","DÂY FRANCO VUÔNG 0.50MM","680Y","50","5","47.85","0.868","","680Y50FS","","","","","","","","0.868","","  ","","","","","","","","","","","","","","","","","","","",""
"68.00%","7","PKD SĨ","KH","08/01/2026","[DHAG-26/01/02]","NGƯNG SX","","DD","CY70FS","DÂY FRANCO VUÔNG 0.70","680Y","","2","41.44","0.752","","680Y70FS","","","","","","","","0.752","","  ","","","","","","","","","","","","","","","","","","","",""
"41.60%","8","PKD SĨ","KH","09/01/2026","[DHAG-26/01/03]","HOÀN TẤT","Đã giao 15 sợi CW30HT1 ngày 29/01/2026","DD","CW30HT1","DÂY MÌ DẸP XOẮN 0.30","416W","","10","44.30","0.491","","416W30HT1","","","","","","","","0.491","","  ","","","","","","","","","","","","","","","","","","","",""
"41.60%","9","PKD SĨ","KH","09/01/2026","[DHAG-26/01/03]","HOÀN TẤT","Đã giao 19 sợi CW35HT1  ngày 30/01/2026","DD","CW35HT1","DÂY MÌ DẸP XOẮN 0.35","416W","","10","56.50","0.627","","416W35HT1","","","","","","","","0.627","","  ","","","","","","","","","","","","","","","","","","","",""
"41.60%","10","PKD SĨ","KH","09/01/2026","[DHAG-26/01/03]","HOÀN TẤT","Đã giao 21 sợi CW30SS ngày 24/01/2026","DD","CW30SS","DÂY MÌ  VUÔNG 0.30","416W","45","20","60.20","0.668","","416W30SS","","","","","","","","0.668","","  ","","","","","","","","","","","","","","","","","","","",""
"41.60%","11","PKD SĨ","KH","09/01/2026","[DHAG-26/01/03]","HOÀN TẤT","Đã giao 8 sợi CW30FS ngày 14/01/2026","DD","CW30FS","DÂY FRANCO VUÔNG 0.30","416W","45","10","35.50","0.394","","416W30FS","","","","","","","","0.394","","  ","","","","","","","","","","","","","","","","","","","",""
"41.60%","12","PKD SĨ","KH","09/01/2026","[DHAG-26/01/03]","HOÀN TẤT","Đã giao 8 sợi CW35FS ngày 14/01/2026","DD","CW35FS","DÂY FRANCO VUÔNG 0.35MM","416W","45","10","39.40","0.437","","416W35FS","","","","","","","","0.437","","  ","","","","","","","","","","","","","","","","","","","",""
"75.00%","13","PKD SĨ","KH","09/01/2026","[DHAG-26/01/04]","NGƯNG SX","","DD","CW35CA4","DÂY CONG KHẾ 0.35MM","750W","45","20","35.80","0.716","","750W35CA4","","","","","","","","0.716","","  ","","","","","","","","","","","","","","","","","","","",""
"75.00%","14","PKD SĨ","KH","09/01/2026","[DHAG-26/01/04]","HOÀN TẤT","Đã giao 10 sợi CW40CA4 ngày 30/01/2026","DD","CW40CA4","DÂY CONG KHẾ 0.40MM","750W","45","20","48.40","0.968","","750W40CA4","","","","","","","","0.968","","  ","","","","","","","","","","","","","","","","","","","",""
"75.00%","15","PKD SĨ","KH","09/01/2026","[DHAG-26/01/04]","HOÀN TẤT","Đã giao 1 sợi CW40CA1 ngày 26/01/2026","DD","CW40CA1","DÂY CHỮ CONG 0.40MM","750W","1000","1","64.78","1.296","","750W40CA1","","","","","","","","1.296","","  ","","","","","","","","","","","","","","","","","","","",""
"75.00%","16","PKD SĨ","KH","09/01/2026","[DHAG-26/01/04]","HOÀN TẤT","Đã giao 1 sợi CW40CA4  ngày 26/01/2026","DD","CW40CA4","DÂY CHỮ CONG 0.40MM","750W","1000","1","53.78","1.076","","750W40CA4","","","","","","","","1.076","","  ","","","","","","","","","","","","","","","","","","","",""
"75.00%","17","CH2","KH","08/01/2026","[DHAG-26/02/01]","HOÀN TẤT","Đã giao 1 sợi BBW5 ngày 05/02/2026","BB","BBW5.0","Lắc bi 5.0mm","750W","18","1","8.00","0.160","","750W5.0","","","","","","","","0.160","","  ","","","","","","","","","","","","","","","","","","","",""
"75.00%","18","PSX L2","SR","16/03/2026","[DHAG-26/03/01]","HOÀN TẤT","Đã giao đủ ","BB","BICR40750Y","Bi rời 4.0 kiểu caro","750Y","","55","6.60","0.132","","750Y","","","","","","","","0.132","","  ","","","","","","","","","","","","","","","","","","","",""
"75.00%","19","PSX L2","SR","16/03/2026","[DHAG-26/03/01]","HOÀN TẤT","Đã giao đủ ","BB","BICR60750Y","Bi rời 6.0 kiểu caro","750Y","","4","1.40","0.028","","750Y","Delay","","","","","","","0.028",""," Not ","","","","6","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready"
"75.00%","20","CH1","SR","24/03/2026","[DHAG-26/03/02]","HOÀN TẤT","Đã giao đủ ","BB","BBW2.56","Lắc bi 2.5mm/6.0mm","750W","17","6","43.62","0.872","","750W2.56","","","","","","","","0.872","","  ","","","","","","","","","","","","","","","","","","","",""
"75.00%","21","CH1","KH","31/03/2026","[DHAG-26/03/03]","HOÀN TẤT","Đã giao đủ ","BB","BBY8","Lắc bi 8.0m kiểu xoáy","750Y","19","1","14.05","0.281","","750Y8","","","","","","","","0.281","","  ","","","","","","","","","","","","","","","","","","","",""
"75.00%","22","CH1","KH","31/03/2026","[DHAG-26/03/03]","HOÀN TẤT","Đã giao đủ ","BB","CBY8","Dây bi 8.0mm kiểu xoáy","750Y","43","1","35.30","0.706","","750Y8","Delay","12/04/2026","","","","","","0.706",""," Not ","11/04/2026","18/04/2026","","5","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready"
"75.00%","23","CH3","KH","12/03/2026","[DHAG-26/03/04]","HOÀN TẤT","Đã giao đủ ","BB","BBY3","Lắc bi 3.0mm kiểu lồng đèn","750Y","16","1","5.00","0.100","","750Y3","","","","","","","","0.100","","  ","","","","","","","","","","","","","","","","","","","",""
"75.00%","24","PSX L2","KH","13/04/2026","[DHAG-26/04/01]","HOÀN TẤT","Đã giao đủ ","BB","BIX30750W","Bi 3.0mm kiểu xoáy","750W","","50","4.50","0.090","","750W","Delay","","","","","","","0.090",""," Not ","","","","6","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready"
"75.00%","25","PSX L2","KH","18/04/2026","[DHAG-26/04/02]","HOÀN TẤT","Đã giao đủ ","BB","BIDH80750W","Bi 8.0mm kiểu dưa hấu","750W","","60","60.00","1.200","","750W","Delay","","","","","","","1.200",""," Not ","","","","6","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready"
"75.00%","26","CH1","SR","17/04/2026","[DHAG-26/04/03]","HOÀN TẤT","Đã giao đủ ","BB","PKKCC750W","Khóa Lobster size 4mm*10mm","750W","","10","5.70","0.114","","750W","Delay","","","","","","","0.114",""," Not ","","","","6","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready"
"75.00%","27","CH1","SR","17/04/2026","[DHAG-26/04/03]","HOÀN TẤT","Đã giao đủ ","BB","PKKCC750Y","Khóa Lobster size 4mm*10mm","750Y","","10","5.70","0.114","","750Y","Delay","23/04/2026","","0.130","","","","-0.016","23/04/2026"," Not yet ","22/04/2026","29/04/2026","29/04/2026","5","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready"
"75.00%","28","CH3","KH","22/04/2026","[DHAG-26/04/04]","HOÀN TẤT","Đã giao đủ ","BB","BBY2.534","Lắc bi 2.5mm/3.0mm/4.0mm","750Y","16","1","6.50","0.130","","750Y2.534","Delay","","","","","","","0.130",""," Not ","","","","5","Waiting","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","","",""
"61.00%","29","PKD SĨ","KH","04/05/2026","[DHAG-26/05/01]","HOÀN TẤT","Đã giao đủ ","DD","CY40CA1","Dây chữ cong 0.40mm","610Y","2000","1","99.00","1.611","","610Y40CA1","Delay","","","","","","","1.611",""," Not ","","","","","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready"
"92.50%","30","PKD SĨ","SR","04/05/2026","[DHAG-26/05/02]","CHƯA HOÀN TẤT","","DD","SV-CW3HE-B2","Dây mì dẹp bện hai","Bac92.5","","1","5.82","0.144","","Bac92.53HE-B2","Delay","","","","","","","0.144",""," Not ","","","","7","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready"
"92.50%","31","PKD SĨ","SR","04/05/2026","[DHAG-26/05/02]","CHƯA HOÀN TẤT","","DD","SV-CW3HE-B3","Dây mì dẹp bện ba","Bac92.5","","1","8.73","0.215","","Bac92.53HE-B3","Delay","","","","","","","0.215",""," Not ","","","","5","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready","Ready"
"92.50%","32","PKD SĨ","SR","04/05/2026","[DHAG-26/05/02]","CHƯA HOÀN TẤT","","DD","SV-CYW3HE-B4","Dây mì dẹp bện bốn (2 màu)","Bac92.5","","1","11.64","0.287","","Bac92.5W3HE-B4","","","","","","","","0.287","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","33","PKD SĨ","SR","04/05/2026","[DHAG-26/05/02]","CHƯA HOÀN TẤT","","DD","SV-CYW3HE-B6","Dây mì dẹp bện sáu (2 màu)","Bac92.5","","1","17.46","0.431","","Bac92.5W3HE-B6","","","","","","","","0.431","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","34","PKD SĨ","SR","04/05/2026","[DHAG-26/05/02]","CHƯA HOÀN TẤT","","DD","SV-CYW3SS-B3","Dây mì vuông bện ba","Bac92.5","","1","7.20","0.178","","Bac92.5W3SS-B3","","","","","","","","0.178","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","35","PKD SĨ","SR","04/05/2026","[DHAG-26/05/02]","CHƯA HOÀN TẤT","","DD","SV-CW3SSHE1","Dây mì vuông bện mì dẹp","Bac92.5","","1","5.31","0.131","","Bac92.53SSHE1","","","","","","","","0.131","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","36","PKD SĨ","SR","04/05/2026","[DHAG-26/05/02]","CHƯA HOÀN TẤT","","DD","SV-CW3SSHE2","Dây mì vuông bện mì dẹp","Bac92.5","","1","5.31","0.131","","Bac92.53SSHE2","","","","","","","","0.131","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","37","PKD SĨ","SR","04/05/2026","[DHAG-26/05/02]","CHƯA HOÀN TẤT","","DD","SV-CYW3HE-B2","Dây mì dẹp bện hai (2 màu)","Bac92.5","","1","5.82","0.144","","Bac92.5W3HE-B2","","","","","","","","0.144","","  ","","","","","","","","","","","","","","","","","","","",""
"75.00%","38","CH1","KH","25/05/2026","[DHAG-26/05/03]","HOÀN TẤT","Đã giao đủ ","DD","CY60FS","Dây Franco vuông 0.60mm","750Y","61","1","18.44","0.369","","750Y60FS","","","","","","","","0.369","","  ","","","","","","","","","","","","","","","","","","","",""
"75.00%","39","CH1","KH","25/05/2026","[DHAG-26/05/03]","HOÀN TẤT","Đã giao đủ ","DD","CY60FS","Dây Franco vuông 0.60mm","750Y","56","10","166.93","3.339","","750Y60FS","","","","","","","","3.339","","  ","","","","","","","","","","","","","","","","","","","",""
"75.00%","40","PSX L2","KH","28/05/2026","[DHAG-26/05/04]","HOÀN TẤT","Chuyển L2 thực hiện, đã xuất phụ kiện","DD","CR45CA4","Dây cong khế 0.45mm","750R","46","5","17.50","0.350","","750RCR45CA4","","","","","","","","0.350","","  ","","","","","","","","","","","","","","","","","","","",""
"75.00%","41","PSX L2","","05/06/2026","[DHAG-26/06/01]","HOÀN TẤT","Đã giao ngày 05/06/2026","DD","CW30SS","Dây mì vuông 0.30","750W","46","1","3.75","0.075","","750W30SS","","","","","","","","0.075","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","42","PKD SĨ","KH","18/06/2026","[DHAG-25/10/10]-SXL","CHƯA HOÀN TẤT","","DD","SV-BW40FS","LắcFranco vuông 0.4","Bac92.5","24","10","23.15","0.571","","Bac92.540FS","","","","","","","","0.571","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","43","PKD SĨ","KH","18/06/2026","[DHAG-25/10/10]-SXL","CHƯA HOÀN TẤT","","DD","SV-CW30SS","Dây mì vuông 0.3","Bac92.5","","10","23.60","0.582","","Bac92.530SS","","","","","","","","0.582","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","44","PKD SĨ","KH","18/06/2026","[DHAG-25/10/10]-SXL","CHƯA HOÀN TẤT","","DD","SV-CW40HE","Dây mì dẹp 0.6","Bac92.5","","26","112.32","2.771","","Bac92.540HE","","","","","","","","2.771","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","45","PKD SĨ","KH","18/06/2026","[DHAG-25/10/10]-SXL","CHƯA HOÀN TẤT","","DD","SV-BW50FS","Lắc Franco vuông 0.5","Bac92.5","","25","51.88","1.280","","Bac92.550FS","","","","","","","","1.280","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","46","PKD SĨ","KH","18/06/2026","[DHAG-25/10/10]-SXL","CHƯA HOÀN TẤT","","DD","SV-CW60CU","Dây khoen lật 0.6","Bac92.5","","16","79.65","1.965","","Bac92.560CU","","","","","","","","1.965","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","47","PKD SĨ","KH","18/06/2026","[DHAG-25/10/10]-SXL","CHƯA HOÀN TẤT","","DD","SV-CW70CU","Dây khoen lật 0.7","Bac92.5","","29","202.04","4.984","","Bac92.570CU","","","","","","","","4.984","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","48","PKD SĨ","KH","18/06/2026","[DHAG-25/10/10]-SXL","CHƯA HOÀN TẤT","","DD","SV-CW60CU","Dây khoen lật 0.6","Bac92.5","","9","45.13","1.113","","Bac92.560CU","","","","","","","","1.113","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","49","PKD SĨ","KH","18/06/2026","[DHAG-25/10/10]-SXL","CHƯA HOÀN TẤT","","DD","SV-CW60FS","Dây Franco vuông 0.7","Bac92.5","","2","19.12","0.472","","Bac92.560FS","","","","","","","","0.472","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","50","PKD SĨ","KH","18/06/2026","[DHAG-25/10/10]-SXL","CHƯA HOÀN TẤT","","DD","SV-CW50FS","Dây Franco vuông 0.5","Bac92.5","","6","39.59","0.977","","Bac92.550FS","","","","","","","","0.977","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","51","PKD SĨ","KH","18/06/2026","[DHAG-25/10/10]-SXL","CHƯA HOÀN TẤT","","DD","SV-CW40FS","Dây Franco vuông 0.4","Bac92.5","","34","130.40","3.217","","Bac92.540FS","","","","","","","","3.217","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","52","PKD SĨ","KH","18/06/2026","[DHAG-25/10/10]-SXL","CHƯA HOÀN TẤT","","DD","SV-CW70CA4","Dây cong khế 0.7","Bac92.5","","28","151.82","3.745","","Bac92.570CA4","","","","","","","","3.745","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","53","PKD SĨ","KH","18/06/2026","[DHAG-25/10/10]-SXL","CHƯA HOÀN TẤT","","DD","SV-CW50CA4","Dây cong khế 0.4","Bac92.5","","43","119.65","2.952","","Bac92.550CA4","","","","","","","","2.952","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","54","PKD SĨ","KH","18/06/2026","[DHAG-25/10/10]-SXL","CHƯA HOÀN TẤT","","DD","SV-CW60CA4","Dây cong khế 0.6","Bac92.5","","39","141.16","3.482","","Bac92.560CA4","","","","","","","","3.482","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","55","PKD SĨ","KH","18/06/2026","[DHAG-25/10/10]-SXL","CHƯA HOÀN TẤT","","BB","SV-BBW3.0","Lắc bi 3","Bac92.5","16","1","3.78","0.093","","Bac92.53.0","","","","","","","","0.093","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","56","PKD SĨ","KH","18/06/2026","[DHAG-25/10/10]-SXL","CHƯA HOÀN TẤT","","BB","SV-BBW6.0","Lắc bi 6","Bac92.5","16","1","7.55","0.186","","Bac92.56.0","","","","","","","","0.186","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","57","PKD SĨ","KH","18/06/2026","[DHAG-25/10/10]-SXL","CHƯA HOÀN TẤT","","BB","SV-BBW4.0","Lắc bi 4","Bac92.5","16","1","5.01","0.124","","Bac92.54.0","","","","","","","","0.124","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","58","PKD SĨ","KH","18/06/2026","[DHAG-25/10/10]-SXL","CHƯA HOÀN TẤT","","BB","SV-CBW3.0","Dây bi 3","Bac92.5","44","1","10.56","0.261","","Bac92.53.0","","","","","","","","0.261","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","59","PKD SĨ","KH","18/06/2026","[DHAG-25/10/10]-SXL","CHƯA HOÀN TẤT","","BB","SV-BBW3.0/8.0","Lắc bi 3.0/8.0","Bac92.5","16","1","9.78","0.241","","Bac92.53.0/8.0","","","","","","","","0.241","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","60","PKD SĨ","KH","18/06/2026","[DHAG-25/10/10]-SXL","CHƯA HOÀN TẤT","","BB","SV-CBW4.0","Dây bi 4","Bac92.5","46","1","14.37","0.354","","Bac92.54.0","","","","","","","","0.354","","  ","","","","","","","","","","","","","","","","","","","",""
"92.50%","61","PKD SĨ","KH","18/06/2026","[DHAG-25/10/10]-SXL","CHƯA HOÀN TẤT","","BB","SV-GBW3.0","Vòng bi 3","Bac92.5","50","1","4.37","0.108","","Bac92.53.0","","","","","","","","0.108","","  ","","","","","","","","","","","","","","","","","","","",""
"75.00%","62","CH1","SR","02/07/2026","[DHAG-26/07/01]","CHƯA HOÀN TẤT","Đề xuất NVL","DD","CY30FS","Dây Franco vuông 0.30mm","750Y","46","10","38.80","0.776","","750Y30FS","","","","","","","","0.776","","  ","","","","","","","","","","","","","","","","","","","",""
"75.00%","63","CH1","SR","02/07/2026","[DHAG-26/07/01]","CHƯA HOÀN TẤT","Đề xuất NVL","DD","CY40FS","Dây Franco vuông 0.40mm","750Y","46","10","63.10","1.262","","750Y40FS","","","","","","","","1.262","","  ","","","","","","","","","","","","","","","","","","","",""
"75.00%","64","CH1","SR","02/07/2026","[DHAG-26/07/01]","CHƯA HOÀN TẤT","Chờ nguyên liệu","DD","CY50FS","Dây Franco vuông 0.50mm","750Y","51","10","105.90","2.118","","750Y50FS","","","","","","","","2.118","","  ","","","","","","","","","","","","","","","","","","","",""
"75.00%","65","CH1","SR","02/07/2026","[DHAG-26/07/01]","CHƯA HOÀN TẤT","Chờ nguyên liệu","DD","CY50CA4","Dây cong khế 0.50mm","750Y","51","10","44.20","0.884","","750Y50CA4","","","","","","","","0.884","","  ","","","","","","","","","","","","","","","","","","","",""
"75.00%","66","CH1","SR","02/07/2026","[DHAG-26/07/01]","CHƯA HOÀN TẤT","Sản xuất bi","BB","CBY25","Dây bi 2.0mm/5.0mm","750Y","46","5","90.35","1.807","","750Y25","","","","","","","","1.807","","  ","","","","","","","","","","","","","","","","","","","",""
"75.00%","67","CH1","SR","02/07/2026","[DHAG-26/07/01]","CHƯA HOÀN TẤT","Đề xuất NVL","BB","CBW25","Dây bi 2.0mm/5.0mm","750W","46","5","90.35","1.807","","750W25","","","","","","","","1.807","","  ","","","","","","","","","","","","","","","","","","","",""
"90.00%","68","PSX L2","","03/07/2026","[DHAG-26/07/02]","CHƯA HOÀN TẤT","","DD"," PT-CW60CA4","Dây cong khế 0.60","PT900","46","1","9.00","0.216","","PT90060CA4","","","","","","","","0.216","","  ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.000","","","","","","","","","","0.000","","  ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.000","","","","","","","","","","0.000","","  ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.000","","","","","","","","","","0.000","","  ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.000","","","","","","","","","","0.000","","  ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.000","","","","","","","","","","0.000","","  ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.000","","","","","","","","","","0.000","","  ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.000","","","","","","","","","","0.000","","  ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.000","","","","","","","","","","0.000","","  ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.000","","","","","","","","","","0.000","","  ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.000","","","","","","","","","","0.000","","  ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.000","","","","","","","","","","0.000","","  ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.000","","","","","","","","","","0.000","","  ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.000","","","","","","","","","","0.000","","  ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.000","","","","","","","","","","0.000","","  ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.000","","","","","","","","","","0.000","","  ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.000","","","","","","","","","","0.000","","  ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.000","","","","","","","","","","0.000","","  ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.000","","","","","","","","","","0.000","","  ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.000","","","","","","","","","","0.000","","  ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.000","","","","","","","","","","0.000","","  ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.000","","","","","","","","","","0.000","","  ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","0.000","","","","","","","","","","0.000","","  ","","","","","","","","","","","","","","","","","","","",""
