"ĐƠN ĐẶT HÀNG GIA CÔNG - Kho L3","","","","","","","","","","","","","","Số :","[DHAG-24/10/03]  - Lô vàng 750W","",""
"16","CY40HT1","Dây mì dẹp xoắn 0.4mm","610Y","61.00%","0.40","","45-47","20","5.63","1.50","5.95","1.59","0.32","112.60","1.83","",""
"17","CY50HT1","Dây mì dẹp xoắn 0.5mm","610Y","61.00%","0.50","","48-50","10","9.38","2.50","8.94","2.38","-0.44","93.80","1.53","",""
"18","GBY2.5- 03","Vòng bi 3 tầng, size bi 2.5mm","610Y","61.00%","","","51","10","16.88","4.50","13.48","3.59","-3.40","168.80","2.75","1.4gr/thép",""
"19","GBY3-02","Vòng bi 2 tầng, size bi 3.0mm","610Y","61.00%","","","51","10","16.88","4.50","10.41","2.78","-6.47","168.80","2.75","0.96gr/thép",""
"20","GBY3 - 03","Vòng bi 3 tầng, size bi 3.0mm","610Y","61.00%","","","51","5","16.88","4.50","15.34","4.09","-1.54","84.40","1.37","1.41gr/thép",""
"21","CBY2.5","Dây bi , size 2.5mm","610Y","61.00%","","","45-47","10","11.25","3.00","11.49","3.06","0.24","112.50","1.83","",""
"22","CBY2.534","Dây bi , size 2.5/3.0/4.0mm","610Y","61.00%","","","45-47","10","13.13","3.50","7.01","1.87","-6.12","131.30","2.14","",""
"23","CBY2.54","Dây bi , size 2.5/4.0mm","610Y","61.00%","","","45-47","5","16.88","4.50","15.90","4.24","-0.98","84.40","1.37","",""
"24","BBY2.5","Lắc Bi 2.5 mm","610Y","61.00%","","","15-17","10","3.75","1.00","4.14","1.10","0.39","37.50","0.61","",""
"25","BBY2.534","Lắc Bi 2.5-3-4 mm","610Y","61.00%","","","15-17","10","5.63","1.50","5.06","1.35","-0.57","56.30","0.92","",""
"26","BBY2.536","Lắc Bi 2.5-3-6 mm","610Y","61.00%","","","15-17","5","7.50","2.00","6.25","1.67","-1.25","37.50","0.61","",""
"27","BBY3.46","Lắc Bi 3-4-6 mm","","61.00%","","","15.5-17.5","5","9.38","2.50","6.08","1.62","-3.30","46.90","0.76","",""
"28","BBY3.4","Lắc Bi 3-4 mm","","61.00%","","","15.5-17.5","5","9.38","2.50","5.07","1.35","-4.31","46.90","0.76","",""
"29","BBY3","Lắc Bi 3.0 mm","","61.00%","","","15-17","10","4.50","1.20","4.51","1.20","0.01","45.00","0.73","",""
"30","BBY4","Lắc Bi 4.0 mm","","61.00%","","","15-17","5","6.75","1.80","5.62","1.50","-1.13","33.75","0.55","",""
"","","TỔNG CỘNG ","","","","","","390","","","215.20","57.39","","3068.65","49.92","",""
