"Số PO:","PO240105-750Y","PO240105-750Y","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Deadline đề xuất: ","15/06/2024","15/06/2024","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHI TIẾT ĐƠN HÀNG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I. ĐỀ XUẤT NGUYÊN LIỆU SẢN XUẤT BI","","","","","","","","","","","","","CHI TIẾT ĐƠN HÀNG","","","CHI TIẾT THU HỒI VỤN","","","","THỜI GIAN THỰC HIỆN","","","","","","","",""
"Loại bi","Số lượng (Viên)","Số lượng bi theo PO","Số kiểu khắc","Hệ số","Số lượng bi sx","Bi dự phòng dôi dư","Tổng TL Bi
(Gr)","Hệ số
dẻ","TL NL theo hệ số","TL NL quay đầu","TL NL đề xuất","","Loại dây (Sợi)","120","","Loại bi","Vụn khắc","","","Thời gian ra dây/1 sợi
Bao gồm: xỏ, hàn đầu bass, gắn khóa, rung rửa sạch","Giờ","","Size bi","TL bi trơn/ viên","","","",""
"","","","","","","","","","","","","","","","","","","","","Bi lớn lần 1","400","0","160","240","","","",""
"","","","","","","","","","","","","","","","","","","","","Bi nhỏ lần 1","160","240","160","240","","","",""
"Tổng nguyên liệu vàng dề xuất","","","TL 18K (gr)","","","","Qui 24K  (L)","","","","","","","Đơn hàng hệ số 2","72.54","","","","","Bi nhỏ lần 2","400","","160","240","","","",""
"Đợt 1: 29/01/2024","","","302.10","","","","6.04","","","","","","","","18.35","","","","","Bi nhỏ lần 3","","480","192","288","","","",""
"Đợt 2: ","","","1297","","","","25.94","","","","","","","","","","","","","Bi nhỏ lần 4","","288","115.2","173","","","",""
"Đợt 3","","","1110","","","","22.20","","","","","","","","","","","","","Bi nhỏ lần 5","150","173","129.12","193.68","","","",""
"TỔNG CỘNG","","","2709.10","","","","54.19","","","","","","","","","","","","","Bi nhỏ lần 6","","193.68","77.472","116.208","","","",""
"","","","","","","","","","","","","","","","","","","","","TỔNG CỘNG","1110","1374","993.79","1490.69","","","",""
"Tổng nguyên liệu vàng thu hồi từ các khâu sản xuất","","","TL 18K (gr)","","","","Qui 24K  (L)","","","Đề xuất","","","","","","","","","","18KR","NL Phân kim
 vụn từ khâu khắc bi đã trừ phí PK","","TP","Dát ","","","",""
"Đợt 1: Khắc bi 18KV","","","223.32","","","","4.47","","","Phân kim cho đợt nấu 3","","","","","","","","","","Bi nhỏ lần 1","294.42","","117.77","176.65","","","",""
"Đợt 2: Dát sx bi 18KV","","","75.57","","","","1.51","","","Phân kim cho đợt nấu 3","","","","","","","","","","","","","","","","","",""
"Đợt 3: Khắc bi 18KT","","","194.78","","","","3.90","","","Nấu muối diêm, NL vàng cũ","","","","","","","","","","","","","","","","","",""
"Đợt 4: Dát sx bi 18KT","","","116.208","","","","2.32","","","Nấu muối diêm, NL vàng cũ","","","","","","","","","","","","","","","","","",""
"Đợt 5: Dát sx bi 18KH","","","176.65","","","","3.53","","","Nấu muối diêm, NL vàng cũ","","","","","","","","","","","","","","","","","",""
"Đợt 6: Khắc bi sx bi 18KH","","","27.21","","","","0.54","","","Nấu muối diêm, NL vàng cũ","","","","","","","","","","","","","","","","","",""
"TỔNG CỘNG","","","813.75","","","","16.28","","","","","","","","","","","","","","","","","","","","",""
