"1","2","3","4","5","","","6","7","","8","9","10","11","12","13","14","15","16","17","18","19","20","21","ALL","23","24","25","26","27","28"
"06/01/2026","Heng Gia Lập","","NL-PD-PT900","Nguyên liệu PT900-PD","","","PT900-PD","Xuất chấy vôi","","43.83","","","","","","","","Treo nợ","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","PT90-PD","","",""
"06/01/2026","Heng Gia Lập","","NL-PD-PT900","Nguyên liệu PT900-PD","","","PT900-PD","Nhập sau chấy vôi","","","43.64","","","0.00","","","","Treo nợ","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","PT90-PD","","",""
"06/01/2026","Heng Gia Lập","","NL-PD-PT900","Nguyên liệu PT900-PD","","","PT900-PD","Nhập sau chấy vôi","","","43.83","","","0.00","","","","Treo nợ","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","PT90-PD","","",""
"06/01/2026","Đinh Công Thành","","HW88-N16H","Hội chế vàng trắng , làm dây","","","HW88-N16H","Xuất nấu","","9.14","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","",""
"06/01/2026","Đinh Công Thành","","Cu","Đồng bi","","","Cu","Xuất nấu","","8.61","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","",""
"06/01/2026","Đinh Công Thành","","BAC9999","Bạc9999","","","BAC9999","Xuất nấu","","25.57","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","",""
"06/01/2026","Đinh Công Thành","","Zn","Kẽm","","","Zn","Xuất nấu","","2.39","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","",""
"06/01/2026","Đinh Công Thành","","NL750Y","Nguyên liệu vàng 750 vàng","","","18K","Xuất nấu","","167.83","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","750Y","","",""
"06/01/2026","Đinh Công Thành","","HW88-N16H","Hội chế vàng trắng , làm dây","","","HW88-N16H","Nhập sau nấu","","","45.29","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","",""
"06/01/2026","Đinh Công Thành","","NL750Y","Nguyên liệu vàng 750 vàng","","","18K","Nhập sau nấu","","","167.81","","","0.02","0.13%","0.218","-0.198","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","750Y","-0.15","-592,020 ₫",""
"06/01/2026","Đinh Công Thành","","NL99","NL99","","","99","Xuất nấu","","32.71","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","416W","","",""
"06/01/2026","Đinh Công Thành","","HW88-N16H","Hội chế vàng trắng , làm dây","","","HW88-N16H","Xuất nấu","","45.29","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","416W","","",""
"06/01/2026","Đinh Công Thành","","NL416W","Nguyên liệu vàng 416 trắng","","","10K","Nhập sau nấu","","","77.91","","","0.09","0.15%","0.117","-0.027","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","416W","#N/A","#N/A",""
"06/01/2026","Đinh Công Thành","","NL750Y","Nguyên liệu vàng 750 vàng","","","18K","Xuất nấu","","167.81","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","750Y","","",""
"06/01/2026","Đinh Công Thành","","NL750Y","Nguyên liệu vàng 750 vàng","","","18K","Nhập sau nấu","","","167.80","","","0.01","0.13%","0.218","-0.208","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","750Y","-0.16","-621,815 ₫",""
"07/01/2026","Đinh Công Thành","","NL416W","Nguyên liệu vàng 416 trắng","","","10K","Xuất nấu lại","","150.99","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","416W","","",""
"07/01/2026","Đinh Công Thành","","NL416W","Nguyên liệu vàng 416 trắng","","","10K","Nhập sau nấu lại","","","150.97","","","0.02","0.13%","0.196","-0.176","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","416W","#N/A","#N/A",""
"07/01/2026","Đinh Công Thành","","HW88-N16H","Hội chế vàng trắng , làm dây","","","HW88-N16H","Xuất nấu","","49.94","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","416W","","",""
"07/01/2026","Đinh Công Thành","","NL99","NL99","","","99","Xuất nấu","","36.13","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","416W","","",""
"07/01/2026","Đinh Công Thành","","HW88-N16H","Hội chế vàng trắng , làm dây","","","HW88-N16H","Xuất nấu","","87.88","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","416W","","",""
"07/01/2026","Đinh Công Thành","","NL99","NL99","","","99","Xuất nấu","","63.01","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","416W","","",""
"07/01/2026","Đinh Công Thành","","NL416W","Nguyên liệu vàng 416 trắng","","","10K","Xuất nấu","","65.74","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","416W","","",""
"07/01/2026","Đinh Công Thành","","NL416W","Nguyên liệu vàng 416 trắng","","","10K","Nhập sau nấu","","","86.05","","","0.02","0.15%","0.129","-0.109","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","416W","#N/A","#N/A",""
"07/01/2026","Đinh Công Thành","","NL416W","Nguyên liệu vàng 416 trắng","","","10K","Nhập sau nấu","","","150.99","","","-0.10","0.15%","0.226","-0.326","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","416W","#N/A","#N/A",""
"07/01/2026","Đinh Công Thành","","NL416W","Nguyên liệu vàng 416 trắng","","","10K","Nhập sau nấu","","","65.24","","","0.50","0.15%","0.099","0.401","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","416W","#N/A","#N/A",""
"07/01/2026","Đinh Công Thành","","CU","Đồng bi","","","Cu","Xuất nấu","","21.12","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","",""
"07/01/2026","Đinh Công Thành","","BAC9999","Bạc9999","","","BAC9999","Xuất nấu","","49.27","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","",""
"07/01/2026","Đinh Công Thành","","HW88-N16H","Hội chế vàng trắng , làm dây","","","HW88-N16H","Xuất nấu","","17.64","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","",""
"07/01/2026","Đinh Công Thành","","HW88-N16H","Hội chế vàng trắng , làm dây","","","HW88-N16H","Nhập sau nấu","","","87.88","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","Hội","","",""
