"Công ty TNHH ASIANA GOLD","","","","","","","","","","","","","","","","","","","","","","Nấu mới","1012.83","1.519","","","","","","","","",""
"03/01/2026","Đinh Công Thành","","NL99","NL99","","","99","Xuất nấu","","33.55","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","416W","","DMM","","","",""
"03/01/2026","Đinh Công Thành","","NL416W","Nguyên liệu vàng 416 trắng","","","10K","Nhập sau nấu","","","79.05","","","0.23","0.15%","0.11892","0.111","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","416W","T","DMM","","","",""
"03/01/2026","Heng Gia Lập","","NL-PD-PT900","Nguyên liệu PT900-PD","","","PT900-PD","Xuất nấu","","73.41","","","","","","","","Treo nợ","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","PT90-PD","","DMM","","","",""
"03/01/2026","Heng Gia Lập","","NL-PD-PT900","Nguyên liệu PT900-PD","","","PT900-PD","Nhập sau nấu","","","73.19","","","0.22","","","","Treo nợ","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","PT90-PD","T","DMM","","","",""
"05/01/2026","Heng Gia Lập","","NL-PD-PT900","Nguyên liệu PT900-PD","","","PT900-PD","Xuất nấu","","43.86","","","","","","","","Treo nợ","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","PT90-PD","","DMM","","","",""
"05/01/2026","Heng Gia Lập","","NLPT99","Nguyên liệu PT99","","","PT99","Xuất nấu","","39.74","","","","","","","","Treo nợ","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","PT90-PD","","DMM","","","",""
"05/01/2026","Heng Gia Lập","","NLPD","Nguyên liệu Palladium","","","PD","Xuất nấu","","4.35","","","","","","","","Treo nợ","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","PT90-PD","","DMM","","","",""
"05/01/2026","Heng Gia Lập","","NL-PD-PT900","Nguyên liệu PT900-PD","","","PT900-PD","Nhập sau nấu","","","43.74","","","0.12","","","","Treo nợ","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","PT90-PD","T","DMM","","","",""
"05/01/2026","Heng Gia Lập","","NL-PD-PT900","Nguyên liệu PT900-PD","","","PT900-PD","Nhập sau nấu","","","43.83","","","0.26","","","","Treo nợ","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","O","Nấu quay đầu","","PT90-PD","T","DMM","","","",""
"05/01/2026","Đinh Công Thành","","NL99","NL99","","","99","Xuất nấu","","121.88","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","750Y","","DMM","","","",""
"05/01/2026","Đinh Công Thành","","NL750Y","Nguyên liệu vàng 750 vàng","","","18K","Xuất nấu","","6.39","","","","","","","","Xác định","Tháng 01"," Năm 2026","Tháng 01 Năm 2026","","1","N","Nấu mới","","750Y","","DMM","","","",""
