"","","","","","","","","","","","","","","","","","","","",""
"[AGVN-PK334]  BÁO CÁO CHI TIẾT THỰC HIỆN PHÂN KIM GỘP - KCP & KHO AG","","","","","","","","","","","","","","","Số: ","PKAU-26/0101","","","",""
"AG","NL610W","62.364%","59.280%","60.82%","","24.56","14.939","","","61.920%","59.350%","60.64%","24.56","14.893","","","","","",""
"AG","NL680Y","68.399%","66.900%","67.65%","","65.51","44.322","","","67.880%","68.030%","67.96%","65.51","44.522","","","","","",""
"AG","NL680Y","68.760%","68.640%","68.70%","","5.91","4.061","","","69.020%","69.000%","69.01%","5.91","4.079","","","","","",""
"AG","NL610Y","63.830%","63.620%","63.73%","","7.05","4.493","","","64.030%","63.970%","64.00%","7.05","4.512","","","","","",""
"AG","NL750Y","74.910%","74.730%","74.82%","","7.87","5.889","","","74.890%","75.090%","74.99%","7.87","5.902","","","","","","2.671"
"KCP","NL18K","","","0.00%","","","0.000","","","","","0.00%","","0.000","","","","","","-4.23"
"KCP","NL18K","","","0.00%","","","0.000","","","","","0.00%","","0.000","","","","","",""
"KCP","NL18K","","","0.00%","","","0.000","","","","","0.00%","","0.000","","","","","",""
"KCP","NL18K","","","0.00%","","","0.000","","","","","0.00%","","0.000","","","","","",""
"KCP","","","","0.00%","","","0.000","","","","","0.00%","","0.000","","","","","",""
"","","","","0.00%","","","0.000","","","","","0.00%","","0.000","","","","","",""
"","","","","0.00%","","","0.000","","","","","0.00%","","0.000","","","","","",""
"","","","","0.00%","","","0.000","","","","","0.00%","","0.000","","","","","",""
"","","","","0.00%","","","0.000","","","","","0.00%","","0.000","","","","","",""
"1.2. : TỔNG TL NL BẠC THỰC HIỆN PK","","","","","","527.410","0.053","","523.861","","","","527.410","0.048","","524.731","","","",""
"1","AU","0.015%","0.000%","0.008%","","466.670","0.035","","","0.000%","0.000%","0.000%","466.670","0.000","","","","","",""
"","ag","99.133%","99.358%","99.25%","","","","","463.149","99.27%","99.61%","99.440%","","","","464.054","","","",""
"2","AU","0.032%","0.028%","0.030%","","60.740","0.018","","","0.086%","0.072%","0.079%","60.740","0.048","","","","","",""
"","ag","99.951%","99.957%","99.95%","","","","","60.712","99.91%","99.88%","99.895%","","","","60.676","","","",""
"3","AU","","","0.00%","","","0.000","","","","","0.000%","","0.000","","","","","",""
"","ag","","","0.00%","","","","","0.000","","","0.000%","","","","0.000","","","",""
"4","AU","","","0.00%","","","0.000","","","","","0.000%","","0.000","","","","","",""
"","ag","","","0.00%","","","","","0.000","","","0.000%","","","","0.000","","","",""
"5","AU","","","0.00%","","","0.000","","","","","0.000%","","0.000","","","","","",""
"","ag","","","0.00%","","","","","0.000","","","0.000%","","","","0.000","","","",""
"6","AU","","","0.00%","","","0.000","","","","","0.000%","","0.000","","","","","",""
"","ag","","","0.00%","","","","","0.000","","","0.000%","","","","0.000","","","",""
"7","AU","","","0.00%","","","0.000","","","","","0.000%","","0.000","","","","","",""
"","ag","","","0.00%","","","","","0.000","","","0.000%","","","","0.000","","","",""
"BƯỚC 2 : TỔNG TRỌNG LƯỢNG HỢP KIM SAU NẤU","","","","","","736.620","139.792","","528.963","","","","736.620","139.792","","528.963","","","",""
"1","AU","19.357%","18.598%","18.98%","","736.620","139.792","","","","","","736.620","139.792","","","","","",""
"","ag","75.059%","68.560%","71.81%","","","","","528.963","","","","","","","528.963","","","",""
"2","AU","","","0.00%","","","0.000","","","","","","","0.000","","","","","",""
"","ag","","","0.00%","","","","","0.000","","","","","","","0.000","","","",""
"3","AU","","","0.00%","","","0.000","","","","","","","0.000","","","","","",""
"","ag","65.319%","76.406%","70.86%","","","","","0.000","","","","","","","0.000","","","",""
"BƯỚC 3 :  TỔNG TL HỢP KIM SAU CÁN VÀ CẮT NHỎ","","","","","","736.600","0.000","","0.000","","","","736.600","0.000","","0.000","","","",""
"1","AU","","","0.00%","","736.600","","","","","","","736.600","","","","","","",""
"","AU","","","0.00%","","","0.000","","","","","","","0.000","","","","","",""
"","AU","","","0.00%","","","","","","","","","","","","","","","",""
"","ag","","","0.00%","","","","","","","","","","","","","","","",""
"","ag","","","0.00%","","","","","0.000","","","","","","","0.000","0.000","","",""
"","ag","","","0.00%","","","","","","","","","","","","","","","",""
"2","AU","","","","","","","","","","","","","","","","","","",""
"","AU","","","","","","0.000","","","","","","","0.000","","","","","",""
"","AU","","","0.00%","","","","","","","","","","","","","","","",""
"","ag","","","0.00%","","","","","","","","","","","","","","","",""
"","ag","","","","","","","","0.000","","","","","","","0.000","0.000","","",""
"","ag","","","","","","","","","","","","","","","","","","",""
"BƯỚC 4: TỔNG TL NL THU HỒI SAU PK","","","","","","141.420","141.545","0.000","532.549","","","","141.420","141.030","0.000","533.573","","","",""
"4.1.THU HỒI NL VÀNG SAU PK","","","","","","141.420","141.420","","","","","","141.420","140.977","","","-0.443","-0.31%","",""
"AG","NL24K","","","0.00%","0.00%","","0.000","","","","","0.00%","","0.000","","","","","",""
"AG","NL24K","99.990%","99.990%","99.99%","100.00%","141.420","141.420","","","99.680%","99.673%","99.68%","141.42","140.977","","","","","",""
"","","","","","","","0.000","","","","","0.00%","","0.000","","","","","",""
"KCP","NL24K","","","0.00%","0.00%","","0.000","","","","","0.00%","","0.000","","","","","",""
"AG","NL24K","","","0.00%","0.00%","","0.000","","","","","0.00%","","0.000","","","","","",""
"4.2. THU HỒI NL BẠC SAU PK","","","","","","","0.125","","532.549","","","","","0.053","","533.573","","","",""
"AG","AU","0.020%","0.027%","0.02%","","533.60","0.125","","","0.020%","0.000%","0.01%","533.60","0.053","","","","","",""
"","ag","99.634%","99.952%","99.79%","","","","","532.549","99.98%","99.99%","99.99%","","","","533.573","","","",""
"KCP","AU","","","0.00%","","","0.000","","","","","","","","","","","","",""
"","ag","","","0.00%","","","","","0.000","","","","","","","","","","",""
"BƯỚC 5 :  KẾT QUẢ CHÊNH LỆCH SAU PK","","","","","","","","","","","","","","","","","","","",""
"5.1. CHÊNH LỆCH TRỌNG LƯỢNG CÂN (B1) VÀ (B3)","","","","","","TL","CÔNG THỨC","","C.LỆCH","","","","TL","CÔNG THỨC","","C.LỆCH","","","",""
"B1.","TỔNG T.LƯỢNG VÀNG + T. LƯỢNG BẠC TRƯỚC PK","","","","","737.660","","","","","","","737.660","","","","","","",""
"B2.","TỔNG TRỌNG LƯỢNG  HỢP KIM SAU NẤU","","","","","736.620","(737.66gr -736.62gr )","","1.040","","","","736.620","(737.66gr -736.62gr )","","1.040","","","",""
"B3.","TỔNG TRỌNG LƯỢNG  HỢP KIM  CÁN, CẮT VỤN","","","","","736.600","(736.62gr -736.6gr )","","0.020","","","","736.600","(736.62gr -736.6gr )","","0.020","","","",""
"","TỔNG CHÊNH LỆCH TL CÂN","","","","","","","","1.060","","","","","","","1.060","","","",""
"5.2. CHÊNH LỆCH TĂNG GIẢM TUỔI NL QUY 99.99%  (B1) - (B4)","","","","","","Trọng lượng Au (gram)","","Trọng lượng Ag (gram)","","","","","Trọng lượng Au (gram)","","Trọng lượng Ag (gram)","","","","",""
"","","","","","","","","au","ag","","","","","","au","ag","","","",""
"B1.","TỔNG TL VÀNG 24K + TL BẠC QUY 99.99% TRƯỚC PK","","","","","","142.531","0.053","523.861","","","","","142.415","0.048","524.731","","","",""
"B4.","TỔNG TL VÀNG 24K + TL BẠC QUY 99.99% SAU PK","","","","","","141.420","0.125","532.549","","","","","140.977","0.053","533.573","","","",""
"TỔNG CHÊNH LỆCH TL NL SAU PK QUY 99.99%","","","","","","","1.111","-0.072","-8.688","","","","","1.439","-0.005","-8.843","","","",""
"5.3. TỔNG CHÊNH LỆCH = (5.1) + (5.2)

   - Chênh lệch (+) thiếu       - Chênh lệch (-) dư        ","","","","","","(1.111gr  + -0.072gr )","","(1.06gr  + -8.688gr )","","","","","(1.439gr  + -0.005gr )","","(1.06gr  + -8.843gr )","","","","",""
"","","","","","","1.039","","(7.628)gr","","","","","1.433","","(7.783)gr","","0.394","37.94%","",""
"","","","","","","(1.039gr  / 142.531gr )","","(-7.628gr  / 523.861gr )","","","","","(1.433gr  / 142.415gr )","","(-7.783gr  / 524.731gr )","","","","",""
"","","","","","","0.73%","","-1.46%","","","","","1.01%","","-1.48%","","0.28%","38.05%","",""
"","","","","","","","","","","","","","","","","","","","",""
"* ","Kết luận : ","","","","","","","","","","","","","","","","","","",""
"-"," Đối với vàng NL trước PK (58.3% - 75%) :","","","","Kết quả test tuổi vàng NL Tiệm Tài thấp hơn kết quả test tuổi HP :","","","","","","","","-0.08%","","","","","","",""
"-"," Đối với vàng NL 24K sau PK (99% - 99.99%) :","","","","Kết quả test tuổi vàng 24K Tiệm Tài thấp hơn kết quả test tuổi HP :","","","","","","","","-0.31%","","","","","","",""
"-","Kết quả hao hụt vàng khi thực hiện PK  :","","","","Hao hụt vàng PK theo KQ test tuổi Tiệm Tài cao hơn hao hụt vàng PK theo kết quả test tuổi HP :","","","","","","","","38.05%","","","","","","",""
