"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"[AGVN-B204] BÁO CÁO KẾ HOẠCH RA DÂY/XỎ DÂY BI THÀNH PHẨM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","192","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Đang thiếu khóa giọt nước","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STT
[1]","SỐ PO
[2]","MÃ SẢN PHẨM
[3]","TÊN SẢN PHẨM
[4]","KẾT CẤU SẢN PHẨM","","","","KIỂU XỎ","","CHI TIẾT BI/1 SỢI","","","","","","","","","","","","","","SỐ LƯỢNG
(Sợi)
[10]","TRỌNG LƯỢNG/SỢI
(Gr)
[11]","NGÀY DỰ KIẾN GIAO THỢ
[12]","Trọng lượng dây bào giao thợ
(Gr)
","NGÀY HOÀN THÀNH
[13]","THÀNH PHẨM NHẬP KHO","","SỐ NGÀY ĐÃ THỰC HIỆN 
"2","PO240104-750Y","CBYW3","Dây bi 3.0","Vàng + Trắng","750WY","46cm","Giọt nước","3.0-3.0","Caro trắng - Lồng đèn vàng","","","85","","85","","","","","","","","","","1","16.66","","","","","","","Đang thực hiện","","","","","",""
"KẾ HOẠCH NGÀY 15/01/2024","","","","","","","","","","22","0","250","0","","0","0","0","0","0","0","22","0","0","4","","","","","2","0","0","","","","","","",""
"1","DHAG-24/11/02","CBW2.546","Dây chuyền bi 2.5mm/4.0mm/6.0mm","Trắng","75.00%","41cm","Giọt nước","2.5-4.0-6.0-4.0-2.5-6.0-2.5","2.5-4.0-6.0-4.0-2.5-6.0-2.5","","","","","","","","","","","","","","","1","","","","","","","","Đang thực hiện","Hoàn tất","","","","",""
"2","DHAG-24/11/01","BBW346","Lắc bi 3.0mm/4.0mm/6.0mm","Trắng","75.00%","15cm","Giọt nước","3.0-4.0-6.0","Caro-ngang-ngang","","","","","","","","","","","","","","","3","","","","","","","","Đang thực hiện","","","","","",""
"3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOTAL","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"1","DHAG-24/11/01","BBW346","Lắc bi 3.0mm/4.0mm/6.0mm","Trắng","75.00%","16cm","Giọt nước","3.0-4.0-6.0","Caro-Ngang-Ngang","","","","","","","","","","","","","","","2","","","","","","","","Đang thực hiện","","","","","",""
"2","DHAG-24/11/01","BBW2.534","Lắc bi 2.5mm/3.0mm/4.0mm","Trắng","75.00%","16cm","Giọt nước","2.5-3.0-4.0","Xoáy-Caro-Xoáy","","","","","","","","","","","","","","","5","","","","","","","","","","","","","",""
"TOTAL","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","Loại vàng","Tồn","Sử dụng","Còn lại"
"1","Sản phẩm chào hàng","CBW3","Dây bi 3.0mm","Trắng","75.00%","46cm","Giọt nước","3.0","Caro","","","","","","","","","","","","","","","2","","","","","","","","","","Bi 3.0 caro","750W","407","391","16"
"2","Sản phẩm chào hàng","BBW3","Lắc bi 3.0mm","Trắng","75.00%","17cm","Giọt nước","3.0","Caro","","","","","","","","","","","","","","","1","","","","","","","","","","Bi 3.0 xoáy","750W","137","135","2"
"3","Sản phẩm chào hàng","BBW3","Lắc bi 3.0mm","Trắng","75.00%","16cm","Giọt nước","3.0","Xoáy","","","","","","","","","","","","","","","2","","","","","","","","","","Bi 3.0 xoáy","680Y","136","130","6"
"4","Sản phẩm chào hàng","BBW3","Lắc bi 3.0mm","Trắng","75.00%","17cm","Giọt nước","3.0","Xoáy-caro","","","","","","","","","","","","","","","1","","","","","","","","","","Bi 3.0 lồng đèn","680Y","189","189","0"
"5","Sản phẩm chào hàng","BBY3","Lắc bi 3.0mm","Vàng","68.00%","16cm","Giọt nước","3.0","Xoáy","","","","","","","","","","","","","","","2","","","","","","","","","","Bi 4.0 chữ S","680Y","115","111","4"
"6","Sản phẩm chào hàng","CBY3","Dây bi 3.0mm","Vàng","68.00%","45cm","Giọt nước","3.0","Lồng đèn","","","","","","","","","","","","","","","1","","","","","","","","","","Bi 5.0 dưa hấu","680Y","40","37","3"
"7","Sản phẩm chào hàng","BBY4","Lắc bi 4.0mm","Vàng","68.00%","16cm","Giọt nước","4.0","Chữ S","","","","","","","","","","","","","","","2","","","","","","","","","","Bi 6.0 sọc ngang","680Y","63","58","5"
"8","Sản phẩm chào hàng","BBY5","Lắc bi 5.0mm","Vàng","68.00%","15.5-17.5","Giọt nước","5.0","Dưa hấu","","","","","","","","","","","","","","","1","","","","","","","","","","Bi 4.0 kiểu xoáy","610Y","119","116","3"
"9","Sản phẩm chào hàng","BBY6","Lắc bi 6.0mm","Vàng","68.00%","15.5-17.5","Giọt nước","6.0","Sọc ngang","","","","","","","","","","","","","","","2","","","","","","","","","","Bi 4.0 lồng đèn","610Y","103","100","3"
"10","Sản phẩm chào hàng","BBY345","Lắc bi 3.0mm/4.0mm/5.0mm","Vàng","68.00%","16cm","Giọt nước","- 3.0 hai bên
- 2 viên 5 ly ở giữa
- 4 viên 4 ly kẹp hai bên 2 viên 5 ly","Lồng đèn-chữ S-dưa hấu","","","","","","","","","","","","","","","1","","","","","","","","","","Bi 4.0 chữ S","610Y","158","153","5"
"11","Sản phẩm chào hàng","BBY345","Lắc bi 3.0mm/4.0mm","Vàng","68.00%","16cm","Giọt nước","3.0-4.0","Xoáy-chữ S","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"12","Sản phẩm chào hàng","BBY4","Lắc bi 4.0mm","Vàng","61.00%","16cm","Giọt nước","4.0","Xoáy","","","","","","","","","","","","","","","2","","","","","","","","","","Bi 6.0 caro","610Y","149","133","16"
"13","Sản phẩm chào hàng","BBY4","Lắc bi 4.0mm","Vàng","61.00%","16cm","Giọt nước","4.0","Lồng đèn","","","","","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14","Sản phẩm chào hàng","CBY4","Dây bi 4.0mm","Vàng","61.00%","45cm","Giọt nước","4.0","Chữ S","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"15","Sản phẩm chào hàng","BBY4","Lắc bi 4.0mm","Vàng","61.00%","16cm","Giọt nước","4.0","Chữ S","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"16","Sản phẩm chào hàng","BBY6","Lắc bi 6.0mm","Vàng","61.00%","15.5-17.5","Giọt nước","6.0","Caro","","","","","","","","","","","","","","","4","","","","","","","","","","","","","",""
"17","Sản phẩm chào hàng","BBY46","Lắc bi 4.0mm/6.0mm","Vàng","61.00%","16cm","Giọt nước","4.0-6.0","Xoáy-caro","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"18","Sản phẩm chào hàng","BBY4","Lắc bi 4.0mm/4.0mm","Vàng","61.00%","16cm","Giọt nước","4.0-4.0","Xoáy -lồng đèn","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"TOTAL","","","","","","","","","","","","","","","","","","","","","","","","28","","","","","","","","","","","","","",""
"1","[DHAG-25/07/06]","BBY3","Lắc bi 3.0mm","Vàng","61.00%","16cm","Giọt nước","3.0","Xoáy","","","","","","","","","","","","","","","10","","","","","","","","","","","","","",""
"2","[DHAG-25/07/06]","BBY4","Lắc bi 4.0mm","Vàng","61.00%","16cm","Giọt nước","4.0","Dưa hấu","","","","","","","","","","","","","","","6","","","","","","","","","","","","","",""
"3","[DHAG-25/07/06]","CBY6","Dây bi 6.0mm","Vàng","61.00%","47cm","Giọt nước","6.0","Dưa hấu","","","","","","","","","","","","","","","5","","","","","","","","","","","","","",""
"4","[DHAG-25/07/10]","BY70FS","Lắc Franco vuông 0.70","Vàng","61.00%","12cm-13cm","Giọt nước","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","",""
"5","CHÀO HÀNG","BY40FS","Lắc Franco vuông 0.40","Vàng","68.00%","12cm-13cm","Giọt nước","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","",""
"6","CHÀO HÀNG","BY40FS","Lắc Franco vuông 0.40","Vàng","68.00%","15cm-16cm","Giọt nước","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7","[DHAG-25/07/07]","CW30SS","Dây mì vuông 0.30mm","Trắng","75.00%","46cm","Giọt nước","","","","","","","","","","","","","","","","","16","","","","","","","","","","","","","",""
"8","[DHAG-25/07/07]","CW30HE","Dây mì dạp 0.30mm","Trắng","75.00%","46cm","Giọt nước","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","",""
"TOTAL","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","","","","","","","","",""
"1","[DHAG-25/07/08-09]","BBW2.56","Lắc bi 2.5mm/6.0mm","Trắng","75.00%","16-17","Giọt nước","2.5-6.0","Caro-sọc ngang","","","","","","","","","","","","","","","3","","","","","","","","","","","","","",""
"2","[DHAG-25/05/11]","BY70FS","Lắc Franco vuông 0.70mm","Vàng","61.00%","16","Giọt nước","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","",""
"3","CHÀO HÀNG","BBY358","Lắc bi 3.0mm/5.0mm/8.0mm","Vàng","68.00%","16","Giọt nước","3.0-5.0-8.0","Chữ S-Chữ S-Dưa hấu","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"4","CHÀO HÀNG","BBY35","Lắc bi 3.0mm/5.0mm","Vàng","68.00%","16","Giọt nước","3.0-5.0","Chữ S-Chữ S","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"5","CHÀO HÀNG","BBY3","Lắc bi 3.0mm","Vàng","68.00%","16","Giọt nước","3.0","Chữ S","","","","","","","","","","","","","","","2","","","","","","","","","","","","","",""
"6","CHÀO HÀNG","BBY3","Lắc bi 3.0mm","Vàng","61.00%","16","Giọt nước","3.0","Chữ S","","","","","","","","","","","","","","","4","","","","","","","","","","","","","",""
"7","[DHAG-25/08/02]","BBY468","Lắc bi 4.0mm/6.0mm/8.0mm","Vàng","68.00%","15.-16","Giọt nước","4.0/6.0/8.0","Dưa hấu-dưa hấu-dưa hấu","","","","","","","","","","","","","","","4","","","","","","","","","","","","","",""
"TOTAL","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","","","","","","","","","",""
