"","DANH MỤC DÂY ĐAN","","","","","","","","","",""
"","","","","","","","","","","",""
"Loại dây","Mã sản phẩm","Loại vàng","Size chỉ","Tên sản phẩm","Trọng lượng","","","","","PO","Deadline"
"","B6.0, 610Y","610Y","6.0","Bi 6.0, 610Y","0.50","","0.57","","","",""
"","B7.0, 610Y","610Y","7.0","Bi 7.0, 610Y","","","","","","",""
"","B8.0, 610Y","610Y","8.0","Bi 8.0, 610Y","","","","","","",""
"","B2.5, 610W","610W","2.5","Bi 2.5, 610W","0.08","","","","","",""
"","B3.0, 610W","610W","3.0","Bi 3.0, 610W","","","","","","",""
"","B4.0, 610W","610W","4.0","Bi 4.0, 610W","","","","","","",""
"","B5.0, 610W","610W","5.0","Bi 5.0, 610W","","","","","","",""
"","B6.0, 610W","610W","6.0","Bi 6.0, 610W","0.57","","","","","",""
"","B7.0, 610W","610W","7.0","Bi 7.0, 610W","","","","","","",""
"","B8.0, 610W","610W","8.0","Bi 8.0, 610W","","","","","","",""
"","B2.56.0, 750Y","750Y","2.56.0","Dây bi 2.5/6.0, 750Y","","","","","","",""
"","NL610W","610W","70","Nguyên liệu làm khoen đầu","","","","","","",""
"","CBY2.53","610Y","","Dây bi 2.5mm & 3.0mm, 610Y","","","","","","",""
"","BBY2.53","610Y","","Lắc bi 2.5mm & 3.0mm, 610Y","","","","","","",""
"","BBY2.54","610Y","","Lắc bi 2.5mm & 4.0mm, 610Y","","","","","","",""
"","BBY2.56","610Y","","Lắc bi 2.5mm & 6.0mm, 610Y","","","","","","",""
"","BBY36","610Y","","Lắc bi 3.0mm & 6.0mm, 610Y","","","","","","",""
"","BBY38","610Y","","Lắc bi 3.0mm & 8.0mm, 610Y","","","","","","",""
"","BBY46","610Y","","Lắc bi 4.0mm & 6.0mm, 610Y","","","","","","",""
"","CBY2.53, 610Y","610Y","","Dây bi 2.5mm & 3.0mm, 610Y","","","","","","",""
"","BBY2.56, 610Y","610Y","","Lắc bi 2.5mm & 6.0mm, 610Y","","","","","","",""
"","BBY2.54, 610Y","610Y","","Lắc bi 2.5mm & 4.0mm, 610Y","","","","","","",""
