"[AGVN-KT409]- BÁO CÁO TỔNG HỢP NHẬP XUẤT TỒN NGUYÊN VẬT LIỆU  -  QUÝ I/2026","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STT","MÃ NL","TÊN NGUYÊN LIỆU","TUỔI ","TỒN ĐẦU KÌ","","THÁNG 01","","","","","","THÁNG 02","","","","","","THÁNG 03","","","","","","QUÝ I/2026","","","","TỒN CUỐI KÌ",""
"27","BTPBI15K","BTP bi 15K","61.00%","157.60","2.56","-","-","7.53","0.12","150.07","2.44","-","-","-","-","150.07","2.44","-","-","-","-","150.07","2.44","-","-","7.53","0.12","150.07","2.44"
"28","BTPBI10K","BTP bi 10K","41.60%","","-","1076.71","11.95","895.67","9.94","181.04","2.01","-","-","-","-","181.04","2.01","-","-","-","-","181.04","2.01","1076.71","11.95","895.67","9.94","181.04","2.01"
"29","BTPDAY24K","BTP dây 24K","99.99%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"30","BTPDAY23K","BTP dây 23K","95.83%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"31","BTPDAY18K","BTP dây 18K","75.00%","138.79","2.78","2004.99","40.10","2059.82","41.20","83.96","1.68","15.96","0.32","-","-","99.92","2.00","-","-","-","-","99.92","2.00","2020.95","40.42","2059.82","41.20","99.92","2.00"
"32","BTPDAY17K","BTP dây 17K","70.80%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"33","BTPDAY16K","BTP dây 16K","68.00%","161.06","2.92","37.53","0.68","95.80","1.74","102.79","1.86","-","-","-","-","102.79","1.86","-","-","-","-","102.79","1.86","37.53","0.68","95.80","1.74","102.79","1.86"
"34","BTPDAY15K","BTP dây 15K","61.00%","4.47","0.07","-","-","-","-","4.47","0.07","-","-","-","-","4.47","0.07","-","-","-","-","4.47","0.07","-","-","-","-","4.47","0.07"
"35","BTPDAY10K","BTP dây 10K","41.60%","68.26","0.76","1711.70","18.99","1743.02","19.34","36.94","0.41","-","-","-","-","36.94","0.41","-","-","-","-","36.94","0.41","1711.70","18.99","1743.02","19.34","36.94","0.41"
"A.3","BÁN THÀNH PHẨM AU","","","835.18","15.03","4889.66","72.89","4990.21","76.09","734.63","11.83","48.46","0.97","17.99","0.36","765.10","12.44","-","-","9.03","0.18","756.07","12.25","4938.12","73.86","5017.23","76.63","756.07","12.25"
"36","TP24K","TP 24K","99.99%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"37","TP18K","TP 18K","75.00%","217.59","4.35","713.99","14.28","868.04","17.36","63.54","1.27","38.68","0.77","66.12","1.32","36.10","0.72","-","-","-","-","36.10","0.72","752.67","15.05","934.16","18.69","36.10","0.72"
