"[AGVN-KO313]-BẢNG KÊ HÀNG HÓA TỒN KHO KÊNH SỈ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"STT","NGÀY XUẤT KHO","NGÀY TỒN","PO","MÃ MẪU","SKU","THÔNG TIN SP","TUỔI VÀNG ","LOẠI
 VÀNG","SL","TL 1SP 
(gr)","TL TỔNG 
(gr)"," TL TỔNG 
(chỉ) ","TỒN"," Giá công "," Giá công tổng ","Hao lai","TL TỔNG QUY 24K (chỉ)"
"(1)","","(2)","(3)","(4)","-5","(6)","","(8)","(9)","(10)","(11)"," (12)=(11)/3.75 ","(13)","  (14)","","(15)=(12)*1%","(16)=(12)*(7)/99.99%"
"544","","09/07/2026","CHÀO HÀNG ","BBY368-TT","30000844","15KY: LAC BI KHAC XOAY - DUA HAU - CARO BBY368-TT 20.77GR,SIZE:16","61.00%","610Y","2","10.385","20.770","5.539","  5.539 c ","240,000","480,000","0.055","3.379"
"545","","09/07/2026","CHÀO HÀNG ","BBY468-TT","30000846","15KY: LAC BI KHAC CHU S - CARO BBY468-TT 20.49GR,SIZE:16","61.00%","610Y","2","10.245","20.490","5.464","  5.464 c ","240,000","480,000","0.055","3.333"
"546","","09/07/2026","CHÀO HÀNG ","BBY36-TT","30000845","15KY: LAC BI KHAC XOAY- DUA HAU BBY36-TT 20.44GR, SIZE:16","61.00%","610Y","3","6.813","20.440","5.451","  5.451 c ","240,000","720,000","0.055","3.325"
"547","","09/07/2026","CHÀO HÀNG ","BBY46-TT","30000847","15KY: LAC BI KHAC SOC NGANG BBY46-TT 13.00GR, SIZE:16","61.00%","610Y","2","6.500","13.000","3.467","  3.467 c ","240,000","480,000","0.035","2.115"
"548","","09/07/2026","CHÀO HÀNG ","CW50CA1","30000852","18KW: DAY CHU CONG 38.79GR CW50CA1,SIZE:42-45","75.00%","750W","9","4.310","38.790","10.344","  10.344 c ","200,000","1,800,000","0.103","7.759"
"549","","09/07/2026","[DHAG-25/12/12]","CW50CA4","30000855","18KW: DAY CONG KHE 45.78GR CW50CA4,SIZE:42-45","75.00%","750W","12","3.815","45.780","12.208","  12.208 c ","200,000","2,400,000","0.122","9.157"
"550","","09/07/2026","[DHAG-25/12/09]","CY30CA1","30000850","16KY: DAY CHU CONG 22.09GR CY30CA1,SIZE:42-45","68.00%","680Y","12","1.841","22.090","5.891","  5.891 c ","60,000","720,000","0.059","4.006"
"551","","09/07/2026","[DHAG-25/12/09]","PKKGN680Y","30000848","KGN680: 16KY KHOA GIOT NUOC 6.94GR, 20PCS SIZE:8.4 x 5.4 x 3.5","68.00%","680Y","20","0.347","6.940","1.851","  1.851 c ","15,000","300,000","0.019","1.259"
"553","","09/07/2026","[DHAG-25/12/12]","CW40CA4","30000854","18KW: DAY CHU CONG KHE 18.51GR CW40CA4, SIZE: 42-45","75.00%","750W","7","2.644","18.510","4.936","  4.936 c ","185,000","1,295,000","0.049","3.702"
"554","","09/07/2026","CHÀO HÀNG ","CW35CA1","30000853","18KW: DAY CHU CONG 4.59GR CW35CA1, SIZE: 42-45","75.00%","750W","2","2.295","4.590","1.224","  1.224 c ","185,000","370,000","0.012","0.918"
"555","","09/07/2026","[DHAG-26/01/02]","CY35FS","30000849","16KY: DAY FRANCO VUONG 34.62GR CY35FS, SIZE:46-48","68.00%","680Y","7","4.946","34.620","9.232","  9.232 c ","250,000","1,750,000","0.092","6.278"
"558","","09/07/2026","[DHAG-26/01/03]","CW30FS","30000843","10KW: DAY FRANCO VUONG 25.50GR CW30FS,SIZE:45","41.60%","416T","8","3.188","25.500","6.800","  6.800 c ","300,000","2,400,000","0.068","2.829"
"559","","09/07/2026","[DHAG-25/12/03]","BW35FS","30000826","10KW: LAC FRANCO VUONG 11.03GR BW35FS,SIZE:15-16","41.60%","416W","7","1.576","11.030","2.941","  2.941 c ","200,000","1,400,000","0.029","1.224"
"560","","09/07/2026","[DHAG-26/01/03]","CW35FS","30000827","10KW: DAY FRANCO VUONG 32.01GR CW35FS,SIZE:45","41.60%","416T","8","4.001","32.010","8.536","  8.536 c ","300,000","2,400,000","0.085","3.551"
"561","","09/07/2026","[DHAG-25/11/06]","CBW2.55","30000832","10KW: DAY BI KHAC CARO-CHU S CBW2.55 69.35GR, SIZE: 45","41.60%","416T","5","13.870","69.350","18.493","  18.493 c ","580,000","2,900,000","0.185","7.694"
"562","","09/07/2026","[DHAG-25/11/06]","GBW2.55-01","30000833","10KW: VONG BI KHAC CARO-CHU S GBW2.55 56.48, SIZE: 48-50-52-54","41.60%","416T","10","5.648","56.480","15.061","  15.061 c ","360,000","3,600,000","0.151","6.266"
"564","","09/07/2026","[DHAG-26/01/04]","CW40CA1","30000837","18KW: DAY CHU CONG 61.34GR CW40CA1, SIZE:10M","75.00%","750W","1","61.340","61.340","16.357","  16.357 c ","185,000","185,000","0.164","12.269"
"565","","09/07/2026","[DHAG-26/01/04]","CW40CA4","30000839","18KW: DAY CONG KHE 49.22GR CW40CA4, SIZE:10M","75.00%","750W","1","49.220","49.220","13.125","  13.125 c ","185,000","185,000","0.131","9.845"
"569","","09/07/2026","CHÀO HÀNG ","CW40CA1","464","18KW: DAY CONG KHE CW40CA1 5.81GR,SIZE: 45","75.00%","750W","2","2.905","5.810","1.549","  1.549 c ","185,000","370,000","0.015","1.162"
"570","","09/07/2026","[DHAG-26/01/03]","CW30HT1","30000828","10KW: DAY MI DEP XOAN 48.74GR CW30HT1, SIZE: 48-50","41.60%","416T","15","3.249","48.740","12.997","  12.997 c ","120,000","1,800,000","0.130","5.407"
"571","","09/07/2026","[DHAG-25/11/06]","CBW24","30000831","10KW:DAY BI KHAC CHU S - CARO CBW24 56.11GR, SIZE:45","41.60%","416T","5","11.222","56.110","14.963","  14.963 c ","580,000","2,900,000","0.150","6.225"
"572","","09/07/2026","[DHAG-26/01/04]","CW40CA4","30000840","18KW: DAY CONG KHE 26.22GR CW40CA4, SIZE:45","75.00%","750T","10","2.622","26.220","6.992","  6.992 c ","105,000","1,050,000","0.070","5.245"
"573","","09/07/2026","[DHAG-25/11/06","GBW24-01","30000836","10KW: VONG BI KHAC CARO - CHU S GBW24-01 14.99GR, SIZE: 48-50-52-54","41.60%","416T","3","4.997","14.990","3.997","  3.997 c ","360,000","1,080,000","0.040","1.663"
