"CÔNG TY TNHH ASIANA GOLD","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
" [AGVN-C3112] - BÁO CÁO NHẬP XUẤT TỒN KHO NGUYÊN VẬT LIỆU","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Từ ngày:","31/12/2024","","Đến ngày:","07/01/2025","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","0.00","","","-19741.43","","","-19529.74","","","","","","0.00","","","","","","","",""
"MÃ HÀNG","TÊN HÀNG HÓA","LOẠI 
VÀNG","TUỔI
 VÀNG","TỒN ĐẦU KỲ","","","NHẬP TRONG KỲ","","","XUẤT TRONG KỲ","","","TỒN CUỐI KỲ SỔ SÁCH","","","TỒN CUỐI KỲ THỰC TẾ","","","CHÊNH LỆCH","","GHI CHÚ","","",""
"","","","","TL
"B750Y25CR","Bán thành phẩm bi 2.5 vàng 18KV, kiểu caro","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750Y25XY","Bán thành phẩm bi 2.5 vàng 18KV, kiểu xoáy","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"b. Bi 3.0","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","X","","Đóng dòng"
"B750Y30TR","Bán thành phẩm bi 3.0 vàng 18KV, kiểu caro","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Lệch cân","","","Đóng dòng"
"B750Y30CR","Bán thành phẩm bi 3.0 vàng 18KV, kiểu caro","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750Y30XY","Bán thành phẩm bi 3.0 vàng 18KV, kiểu xoáy","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750Y30LD","Bán thành phẩm bi 3.0 vàng 18KV, kiểu lồng đèn","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"c. Bi 4.0","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750Y40TR","Bán thành phẩm bi 4.0 vàng 18KV, bi trơn","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750Y40CR","Bán thành phẩm bi 4.0 vàng 18KV, kiểu caro","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750Y40CN","Bán thành phẩm bi 4.0 vàng 18KV, kiểu cắt ngang","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750Y40NO","Bán thành phẩm bi 4.0 vàng 18KV, kiểu nơ","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750Y40XY","Bán thành phẩm bi 4.0 vàng 18KV, kiểu xoáy","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750Y40HC","Bán thành phẩm bi 4.0 vàng 18KV, kiểu hảo châu","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750Y40LD","Bán thành phẩm bi 4.0 vàng 18KV, kiểu lồng đèn","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"d. Bi 5.0","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750Y50TR","Bán thành phẩm bi 5.0 vàng 18KV, kiểu trơn","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750Y50CR","Bán thành phẩm bi 5.0 vàng 18KT, kiểu caro","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750Y50CM","Bán thành phẩm bi 5.0 vàng 18KV, kiểu chữ M","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"e. Bi 6.0","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750Y60TR","Bán thành phẩm bi 6.0 vàng 18KV, bi trơn","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750Y60CR","Bán thành phẩm bi 6.0 vàng 18KV, kiểu caro","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750Y60XY","Bán thành phẩm bi 6.0 vàng 18KV, kiểu xoáy","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750Y60CN","Bán thành phẩm bi 6.0 vàng 18KV, kiểu cắt ngang","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"f. Bi 8.0","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750Y80CR","Bán thành phẩm bi 8.0 vàng 18KV, kiểu caro","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750Y80CN","Bán thành phẩm bi 8.0 vàng 18KV, kiểu cắt ngang","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750Y80XY","Bán thành phẩm bi 8.0 vàng 18KV, kiểu xoáy","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"3. Vàng 18KR","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"a. Bi 2.0","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750R20TR","Bán thành phẩm bi 2.0 vàng 18KR, kiểu trơn","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750R20XY","Bán thành phẩm bi 2.5 vàng 18KR, kiểu xoáy","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"b. Bi 3.0","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750R30TR","Bán thành phẩm bi 3.0 vàng 18KR, kiểu trơn","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750R30CR","Bán thành phẩm bi 3.0 vàng 18KR, kiểu caro","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750R30CS","Bán thành phẩm bi 3.0 vàng 18KR, kiểu chữ S","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
"c. Bi 4.0","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750R40TR","Bán thành phẩm bi 4.0 vàng 18KR, kiểu trơn","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750R40CS","Bán thành phẩm bi 4.0 vàng 18KR, kiểu chữ S","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B750W40CC","Bán thành phẩm bi 4.0 vàng 18KT, bi chữ C","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"4. Vàng 610Y","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"a. Bi 2.5","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B610Y25CR","Bán thành phẩm bi 2.5 vàng 610KV, kiểu caro","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B610Y25XY","Bán thành phẩm bi 2.5 vàng 610KV, kiểu xoáy","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"b. Bi 3.0","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B610Y30TR","Bán thành phẩm bi 3.0 vàng 610KV, bi trơn","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B610Y30CR","Bán thành phẩm bi 3.0 vàng 610KV, kiểu caro","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B610Y30XY","Bán thành phẩm bi 3.0 vàng 610KV, kiểu xoáy","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"c. Bi 4.0","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B610Y40CR","Bán thành phẩm bi 4.0 vàng 610KV, kiểu caro","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B610Y40MT","Bán thành phẩm bi 4.0 vàng 610KV, kiểu mũi tên","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"d. Bi 6.0","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","x","","Đóng dòng"
"B610Y60TR","Bán thành phẩm bi 6.0 vàng 610KV, bi trơn","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B610Y60DH","Bán thành phẩm bi 6.0 vàng 61KV, kiểu dưa hấu","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B610Y60CR","Bán thành phẩm bi 6.0 vàng 61KV, kiểu caro","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B610Y60XY","Bán thành phẩm bi 6.0 vàng 61KV, kiểu xoáy","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B610Y60CN","Bán thành phẩm bi 6.0 vàng 610KV, kiểu xoáy","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"e. Bi 7.0","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"f. Bi 8.0","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B610Y80TR","Bán thành phẩm bi 8.0 vàng 610KV, bi trơn","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B610Y80CN","Bán thành phẩm bi 6.0 vàng 61KV, kiểu cắt ngang","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"B610Y80DH","Bán thành phẩm bi 8.0 vàng 61KV, kiểu dưa hấu","61K","61.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"IV. TỔNG SẢN PHẨM HOÀN TẤT","","","","0.00","#N/A","#N/A","203.50","#N/A","#N/A","148.15","#N/A","#N/A","55.35","#N/A","#N/A","0.00","#N/A","#N/A","50.76","#N/A","","","#N/A",""
"1. Vàng 18KW","","","","0.00","#N/A","#N/A","203.50","#N/A","#N/A","148.15","#N/A","#N/A","55.35","#N/A","#N/A","0.00","0.00","0.00","-0.01","-0.01","","","#N/A",""
"a. Dây chữ cong","","","","0.00","#N/A","#N/A","59.62","#N/A","#N/A","49.35","#N/A","#N/A","10.27","#N/A","#N/A","0.00","0.00","0.00","0.00","0.00","","","#N/A",""
"CW30CA1-750","Dây chữ cong 18KT, size 0.3mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"CW35CA1-750","Thành phẩm dây cong 18KW, size 0.35mm","18K","75.00%","0.00","0.00","0.00","9.18","6.89","0.18","4.59","3.44","0.09","4.59","3.44","0.09","","","","","","","","",""
"CW40CA1-750","Thành phẩm dây cong 18KW, size 0.40mm","18K","75.00%","0.00","0.00","0.00","11.65","8.74","0.23","5.84","4.38","0.12","5.81","4.36","0.12","0.00","0.00","0.00","5.81","4.36","","","",""
"CW50CA1-750","Thành phẩm dây cong 18KW, size 0.50mm","18K","75.00%","0.00","0.00","0.00","38.79","29.09","0.78","38.92","29.19","0.78","-0.13","-0.10","0.00","0.00","0.00","0.00","-0.13","-0.10","","","KTRA SỐ LIỆU",""
"CW60CA1-750","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"CW70CA1-750","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","","","#N/A","Đóng dòng"
"CW80CA1-750","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","","","","","","","","#N/A",""
"b. Dây khoen lật","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"CW30CU-750","Thành phẩm dây mì dẹp 18KW, size 0.40mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"CW40CU-750","Thành phẩm dây mì dẹp 18KW, size 0.40mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
"CW50CU-750","Thành phẩm dây mì dẹp 18KW, size 0.40mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"CW60CU-750","Thành phẩm dây mì dẹp 18KW, size 0.40mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"c. Dây Franco","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"CW30FS-750","Thành phẩm dây franco vuông 18KW, size 0.3mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"CW35FS-750","Thành phẩm dây Franco vuông 18KV, size 0.40","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"CW40FS-750","#N/A","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"CW50FS-750","#N/A","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
"CW60FS-750","#N/A","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
"d. Dây bi","","","","0.00","#N/A","#N/A","40.55","#N/A","#N/A","40.56","#N/A","#N/A","-0.01","#N/A","#N/A","0.00","0.00","0.00","0.00","0.00","","","#N/A",""
"CBW2.0-750W","Thành phẩm Dây bi vàng 750W, size 2.0","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"CBW2.534-750","Dây bi vàng 18KT, size 2.5&4.0mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"CBW2.5/4.0-750","Dây bi vàng 18KT, size 2.5&4.0mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"CBW2.53-750W","Thành phẩm Dây bi vàng 750W, size 2.5&3.0","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"CBW2.5-750W","Thành phẩm Dây bi vàng 750W, size 2.5","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"CBW3.0-750","Dây bi vàng 18KT, size 3.0mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"CBW2.546-750","Dây bi vàng 18KT, size 2.5&4.0&6.0mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"CBW4.0-750W","Thành phẩm Lắc bi vàng 750W, size 4.0 mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"CBW35-750W","Dây bi vàng 18KT, size 3.0 & 5.0mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"CBW2.5/4.0/6.0-750","Thành phẩm Dây bi vàng 750W, size 2.5&4.0&6.0mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"CBW6-750W","Thành phẩm dây chuyền bi 18KW, size 0.6mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"GBW2.54-750","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","","","","","","","","",""
"GBW3.0-750","Vòng bi vàng 18KT, size 3.0mm","18K","75.00%","0.00","0.00","0.00","40.55","30.41","0.81","40.56","30.42","0.81","-0.01","-0.01","0.00","0.00","0.00","0.00","-0.01","-0.01","","","KTRA SỐ LIỆU",""
"e. Lắc bi","","","","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","0.00","0.00","0.00","0.00","","","#N/A","Đóng dòng"
"BBY2.5/4.0/6.0-750","Thành phẩm Lắc bi vàng 750Y, size 2.5&4.0&6.0mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"BBW2.5/4.0-750","Thành phẩm Lắc bi vàng 750W, size 2.5&4.0mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"BBW2.534-750W","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","","","","","","","","",""
"BBW346-750W","Thành phẩm Lắc bi vàng 750W, size 3.0&4.0&6.0mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"BBW2.5-750","Thành phẩm Lắc bi vàng 750W, size 2.5mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"BBW2.53-750","#N/A","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","","","","","","","","",""
"BBW2.55-750","Thành phẩm Lắc bi vàng 750W, size 2.5&5.0mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","",""
"BBW2.5/6.0-750","Thành phẩm lắc bi 750W, size 2.5-6.0","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"BBW3.0-750W","Thành phẩm Lắc bi vàng 750W, size 3.0 mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"BBW36-750W","Thành phẩm Lắc bi vàng 750W, size 3.0&6.0mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"BBW4.0-750W","Thành phẩm Lắc bi vàng 750W, size 4.0 mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"BBW46-750W","Thành phẩm Lắc bi vàng 750W, size 4.0&6.0","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"BBW5.0-750","Thành phẩm lắc bi vàng 18KT, size 5.0mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"BBW6-750W","Thành phẩm lắc bi 18KW, size 0.6mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"f. Dây mì","","","","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","#N/A","#N/A","0.00","0.00","0.00","0.00","0.00","","","#N/A","Đóng dòng"
"CW40HE-750","Thành phẩm dây mì dẹp 18KW, size 0.40mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
"CW50HE-750","Thành phẩm dây mì dẹp 18KW, size 0.50mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
"CW30HE-750","Dây mì dẹp, size 0.3mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
"CW35HE-750","Dây mì dẹp, size 0.35mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
