"TP10KV-0.35","Thành phẩm dây đan 10K vàng size 0.35mm","10K","41.60%"
"TP10KT-0.40","Thành phẩm dây đan 10K vàng size 0.40mm","10K","41.60%"
"TP10KT-0.50","Thành phẩm dây đan 10K vàng size 0.50mm","10K","41.60%"
"TP10KH-0.25","Thành phẩm dây đan 10K hồng size 0.25mm","10K","41.60%"
"TP10KH-0.30","Thành phẩm dây đan 10K hồng size 0.30mm","10K","41.60%"
"TP10KH-0.35","Thành phẩm dây đan 10K hồng size 0.35mm","10K","41.60%"
"TP10KH-0.40","Thành phẩm dây đan 10K hồng size 0.40mm","10K","41.60%"
"TP10KH-0.50","Thành phẩm dây đan 10K hồng size 0.50mm","10K","41.60%"
"SPHTD10KT","Sản phẩm hoàn thành dây đan 10K Trắng ","10K","41.60%"
"SPHTD14KT","Sản phẩm hoàn thành dây đan 14K Trắng ","14K","58.30%"
"SPHTD18KT","Sản phẩm hoàn thành dây đan 18K Trắng ","18K","75.00%"
"SPHTD24K","Sản phẩm hoàn thành dây đan 24K ","24K","99.99%"
"","","",""
"B2. THÀNH PHẨM-BI","","",""
"Mã hàng","Tên hàng","Tuổi vàng",""
"SPHTB10KT","Sản phẩm hoàn thành dây bi 10K Trắng ","10K","41.60%"
"SPHTB14KT","Sản phẩm hoàn thành dây bi  14K Trắng ","14K","58.30%"
"SPHTB18KT","Sản phẩm hoàn thành 18K Trắng ","18K","75.00%"
"SPHTB24K","Sản phẩm hoàn thành 24K ","24K","99.99%"
"","","",""
"","","",""
"","","",""
"D2. SẢN PHẨM BẢO HÀNH","","",""
"Mã hàng","Tên hàng","Tuổi vàng",""
"SPBHD10KT","Sản phẩm bảo hành dây đan 10K trắng","10K","41.60%"
"SPBHD14KT","Sản phẩm bảo hành dây đan 14K trắng","14K","58.30%"
"SPBHD18KT","Sản phẩm bảo hành dây đan 18K trắng","18K","75.00%"
"SPBHD24KT","Sản phẩm bảo hành dây đan 24K","24K","99.99%"
"SPBHB10KT","Sản phẩm bảo hành dây bi 10K trắng","10K","41.60%"
"SPBHB14KT","Sản phẩm bảo hành dây bi 14K trắng","14K","58.30%"
"SPBHB18KT","Sản phẩm bảo hành dây bi 18K trắng","18K","75.00%"
"SPBHB24K","Sản phẩm bảo hành dây bi 24K","24K","99.99%"
"","","",""
"","","",""
"","","",""
"III. HỘI","","",""
"Mã hàng","Tên hàng","",""
"HT145B","Hội chế vàng 18KT","HT145B",""
"H177B","Hội chế vàng 18KV","H177B",""
"HH","Hội chế vàng 18KH","HH",""
"H210","Hội chế vàng 14KV","H210",""
"IV. NGUYÊN LIỆU KHÁC","","",""
"Mã hàng","Tên hàng","",""
"NLBAC9999","Nguyên liệu bạc 99.99","Bạc99.99","99.99%"
"NLBAC97","Nguyên liệu bạc 97","Bạc97","97.00%"
"NLBAC925","Nguyên liệu bạc 92.5","Bạc 92.5","92.50%"
"VUNBAC","Vụn bạc","Vunbac",""
"BTPCBAC97","Bán thành phầm chỉ bạc 97%","BAC97","97%"
"BTPCBAC97-0.25","Bán thành phẩm chỉ bạc 97% size 0.25mm","BAC97","97%"
"BTPCBAC97-0.30","Bán thành phẩm chỉ bạc 97% size 0.30mm","BAC97","97%"
"BTPCBAC97-0.35","Bán thành phẩm chỉ bạc 97% size  0.35mm","BAC97","97%"
"BTPCBAC97-0.40","Bán thành phẩm chỉ bạc 97% size  0.40mm","BAC97","97%"
"BTPCBAC97-0.50","Bán thành phẩm chỉ bạc 97% size  0.50mm","BAC97","97%"
"TP1DBAC97-0.25","Thành phẩm 1 dây bạc 97% size 0.25mm","BAC97","97%"
"TP1DBAC97-0.30","Thành phẩm 1 dây bạc 97% size 0.30mm","BAC97","97%"
"TP1DBAC97-0.35","Thành phẩm 1 dây bạc 97% size 0.35mm","BAC97","97%"
"TP1DBAC97-0.40","Thành phẩm 1 dây bạc 97% size 0.40mm","BAC97","97%"
"TP1DBAC97-0.50","Thành phẩm 1 dây bạc 97% size 0.50mm","BAC97","97%"
"BTPDBAC97","Bán thành phẩm dát bạc 97%","BAC97","97%"
"BTPOBAC97-2.5","Bán thành phẩm ống bạc 97% size 2.5mm","BAC97","97%"
"BTPOBAC97-3.0","Bán thành phẩm ống bạc 97% size 3.0mm","BAC97","97%"
"BTPOBAC97-4.0","Bán thành phẩm ống bạc 97% size 4.0mm","BAC97","97%"
"BTPOBAC97-5.0","Bán thành phẩm ống bạc 97% size 5.0mm","BAC97","97%"
"BTPOBAC97-6.0","Bán thành phẩm ống bạc 97% size 6.0mm","BAC97","97%"
"BTPOBAC97-7.0","Bán thành phẩm ống bạc 97% size 7.0mm","BAC97","97%"
"BTPOBAC97-8.0","Bán thành phẩm ống bạc 97% size 8.0mm","BAC97","97%"
"NLTHAULA","Nguyên liệu thau lá","Thau",""
"NLDONGLA","Nguyên liệu đồng lá","Dong",""
"NLKEM","Nguyên liệu kẽm","Kem",""
"VHBAC","Vẫy hàn bạc","",""
