"CÔNG TY TNHH ASIANA GOLD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BÁO CÁO CHI TIẾT TỒN BÁN THÀNH PHẨM - KHO L.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","PO240205-750W","Bi 6.0","750W","PO240205-750W750W","Trơn","20","12.4","Chờ khắc","Chờ khắc","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","PO240205-750W","Bi 4.0","750W","PO240205-750W750W","Trơn","43","8.43","Chờ khắc","Chờ khắc","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"4","PO240105-750Y","Bi 5.0","750W","PO240105-750Y750W","Trơn","42","19","Chờ khắc","Chờ khắc","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","","Bi 4.0","750W","PO240205-750W750W","Xoáy","155","26.44","Khắc bi","Chờ xỏ","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"5","PO240304-750WY","Bi 6.0","750W","PO240304-750WY750W","Trơn","152","68.27","Chờ khắc","Chờ khắc","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","PO240304-750WY","Bi 6.0","750W","PO240304-750WY750W","Trơn","219","124.76","Chờ khắc","Chờ khắc","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","PO240304-750WY","Bi 3.0","750W","PO240304-750WY750W","Trơn","740","75.11","Chờ khắc","Chờ khắc","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"IV. Vàng 750Y","","","","","","2625","492.49","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","AG-PO230801 ","Bi 2.5","750Y","AG-PO230801 750Y","Xoáy","6","0.35","Khắc bi","Bi dư từ đơn hàng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","AG-PO230801 ","Bi 2.5","750Y","AG-PO230801 750Y","Caro","20","1.21","Khắc bi","Bi dư từ đơn hàng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","AG-PO230801 ","Bi 4.0 ","750Y","AG-PO230801 750Y","Nơ","5","0.72","Khắc bi","Bi dư từ đơn hàng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","AG-PO230801 ","Bi 4.0 ","750Y","AG-PO230801 750Y","Hảo châu","4","0.57","Khắc bi","Bi dư từ đơn hàng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","AG-PO230801 ","Bi 4.0 ","750Y","AG-PO230801 750Y","Lồng đèn","10","1.51","Khắc bi","Bi dư từ đơn hàng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","AG-PO230801 ","Bi 4.0 ","750Y","AG-PO230801 750Y","Ngang full","16","2.49","Khắc bi","Bi dư từ đơn hàng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","AG-PO230801 ","Bi 6.0 ","750Y","AG-PO230801 750Y","Caro","8","16.00","Khắc bi","Bi dư từ đơn hàng","Kho L3","Bi lổ to","","","","","","","","","","","","","","","","","","","","","",""
"","AG-PO230801 ","Bi 6.0 ","750Y","AG-PO230801 750Y","Ngang","51","22.77","Khắc bi","Bi dư từ đơn hàng","Kho L3","Bi lổ to","","","","","","","","","","","","","","","","","","","","","",""
"","AG-PO230801 ","Bi 8.0 ","750Y","AG-PO230801 750Y","Caro","21","17.01","Khắc bi","Bi dư từ đơn hàng","Kho L3","Bi lổ to","","","","","","","","","","","","","","","","","","","","","",""
"","AG-PO230801 ","Bi 8.0 ","750Y","AG-PO230801 750Y","Ngang","13","9.78","Khắc bi","Bi dư từ đơn hàng","Kho L3","Bi lổ to","","","","","","","","","","","","","","","","","","","","","",""
"","AG-PO230801 ","Bi 8.0 ","750Y","AG-PO230801 750Y","Xoáy","6","5.99","Khắc bi","Bi dư từ đơn hàng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"3","PO240104-750WY","Bi 3.0","750Y","PO240104-750WY750Y","Xoáy","16","1.27","Khắc bi","Chờ xỏ","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","PO240104-750WY","Bi 3.0","750Y","PO240104-750WY750Y","Lồng đèn","189","15.16","Khắc bi","Chờ xỏ","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"4","PO240105-750Y","Bi 3.0","750Y","PO240105-750Y750Y","Caro","438","36.02","Khắc bi","Chờ xỏ","Kho L3","Phối kiểu","","","","","","","","","","","","","","","","","","","","","",""
"","PO240105-750Y","Bi 2.5","750Y","PO240105-750Y750Y","Caro","84","4.96","Khắc bi","Chờ xỏ","Kho L3","Phối kiểu","","","","","","","","","","","","","","","","","","","","","",""
"","PO240105-750Y","Bi 2.5","750Y","PO240105-750Y750Y","Caro","163","9.71","Khắc bi","Chờ xỏ","Kho L3","Phối kiểu","","","","","","","","","","","","","","","","","","","","","",""
"","PO240105-750Y","Bi 2.5","750Y","PO240105-750Y750Y","Xoáy","75","4.5","Khắc bi","Chờ xỏ","Kho L3","Phối kiểu","","","","","","","","","","","","","","","","","","","","","",""
"","PO240105-750Y","Bi 3.0","750Y","PO240105-750Y750Y","Chữ S","53","3.84","Khắc bi","Chờ xỏ","Kho L3","Phối kiểu","","","","","","","","","","","","","","","","","","","","","",""
"","PO240105-750Y","Bi 3.0","750Y","PO240105-750Y750Y","Caro","102","8.86","Khắc bi","Chờ xỏ","Kho L3","Phối kiểu","","","","","","","","","","","","","","","","","","","","","",""
"","PO240105-750Y","Bi 6.0","750Y","PO240105-750Y750Y","Xoáy","174","59.93","Khắc bi","Chờ xỏ","Kho L3","Phối kiểu","","","","","","","","","","","","","","","","","","","","","",""
"","PO240105-750Y","Bi 6.0","750Y","PO240105-750Y750Y","Caro","20","6.44","Khắc bi","Chờ xỏ","Kho L3","Phối kiểu","","","","","","","","","","","","","","","","","","","","","",""
"","PO240105-750Y","Bi 6.0","750Y","PO240105-750Y750Y","Caro","61","21.59","Khắc bi","Chờ xỏ","Kho L3","Phối kiểu","","","","","","","","","","","","","","","","","","","","","",""
"","PO240105-750Y","Bi 6.0","750Y","PO240105-750Y750Y","Sọc ngang","50","16.87","Khắc bi","Chờ xỏ","Kho L3","Phối kiểu","","","","","","","","","","","","","","","","","","","","","",""
"","PO240105-750Y","Bi 4.0 ","750Y","PO240105-750Y750Y","Trơn","100","20.05","Chờ dự phòng","Chờ dự phòng","Kho L3","","","","","","","","","","","","","","","","","","","","","","",""
"","PO240105-750Y","Bi 4.0 ","750Y","PO240105-750Y750Y","Xoáy","280","45.51","Khắc bi","Chờ xỏ","Kho L3","Phối kiểu","","","","","","","","","","","","","","","","","","","","","",""
"","PO240105-750Y","Bi 4.0 ","750Y","PO240105-750Y750Y","Caro","198","29.88","Khắc bi","Chờ xỏ","Kho L3","Phối kiểu","","","","","","","","","","","","","","","","","","","","","",""
"","PO240105-750Y","Bi 4.0 ","750Y","PO240105-750Y750Y","Xoáy","146","23.21","Khắc bi","Chờ xỏ","Kho L3","Phối kiểu","","","","","","","","","","","","","","","","","","","","","",""
"","PO240105-750Y","Bi 6.0","750Y","PO240105-750Y750Y","Caro","40","13.83","Khắc bi","Chờ xỏ","Kho L3","Phối kiểu","","","","","","","","","","","","","","","","","","","","","",""
"","PO240105-750Y","Bi 6.0","750Y","PO240105-750Y750Y","Caro","96","34.3","Khắc bi","Chờ xỏ","Kho L3","Phối kiểu","","","","","","","","","","","","","","","","","","","","","",""
"","PO240105-750Y","Bi 6.0","750Y","PO240105-750Y750Y","Xoáy","128","44.34","Khắc bi","Chờ xỏ","Kho L3","Phối kiểu","","","","","","","","","","","","","","","","","","","","","",""
"","PO240105-750Y","Bi 5.0","750Y","PO240105-750Y750Y","Chữ M","52","13.82","Khắc bi","Chờ xỏ","Kho L3","Phối kiểu","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11/1/2024",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11/1/2024",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11/1/2024",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
