"STT","NGÀY XUẤT","SỐ CHỨNG TỪ","DIỄN GIẢI","MÃ HÀNG","TÊN MÃ HÀNG","ĐƠN GIÁ 
(lượng)","ĐVT","QTY BAN ĐẦU","TL BAN ĐẦU","TL THỰC NHẬN
gr","NGUỒN NHẬP","GHI CHÚ"
"39","05/06/2021","XKNL.T06-03","Xuất 6L0061 Lượng vàng 24K (CML duyệt ngày 03/06/2021 04:52PM)","24K","Vàng 24K","","gr","","225.21gr","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"40","08/06/2021","XKNL.T06-05","Xuất 6L0013 Lượng vàng 24K (CML duyệt ngày 07/06/2021 03:51PM)","24K","Vàng 24K","","gr","","","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"41","09/06/2021","XKNL.T06-06","Xuất 6L0071 Lượng vàng 24K (CML duyệt ngày 07/06/2021 03:51PM)","24K","Vàng 24K","","gr","","225.22gr","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"42","14/06/2021","XKNL.T06-07","Xuất 5L0049 Lượng vàng 24K (CML duyệt ngày 11/06/2021 10:40PAM)
(Đợt 1: 11.30 chiều thứ 2, ngày 14/6, cần có 5L vàng 24K)","24K","Vàng 24K","","gr","","","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"43","16/06/2021","XKNL.T06-08","Xuất 4L9988 Lượng vàng 24K (CML duyệt ngày 11/06/2021 10:40AM) ĐỢT 2","24K","Vàng 24K","","gr","","","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"44","18/06/2021","XKNL.T06-09","Xuất 4L0034 Lượng vàng 24K(Đợt 3: 10.00 sáng thứ 7, ngày 19/6, cần có 7L vàng 24K)","24K","Vàng 24K","","gr","","150.12","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"45","21/06/2021","XKNL.T06-010","Xuất 2L0031 Lượng vàng 24K(Đợt 3: 10.00 sáng thứ 7, ngày 19/6, cần có 7L vàng 24K)","24K","Vàng 24K","","gr","","","","","Xuất nhập Kho NVL (Chị Trân)"
"46","23/06/2021","XKNL.T06-012","Xuất 4L9986 Lượng vàng 24K(Đợt 1: 15.00 chiều thứ 2, ngày 21/6, cần có 7L vàng 24K)","24K","Vàng 24K","","gr","","187.43g","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"47","25/06/2021","XKNL.T06-013","Xuất 3L9998 Lượng vàng 24K(Đợt 2: 11.00 chiều thứ 4, ngày 23/6, cần có 7L vàng 24K)","24K","Vàng 24K","","gr","","","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"48","29/06/2021","XKNL.T06-015","Xuất 6L0022 Lượng vàng 24K (CML duyệt ngày 28/06/2021 08:40AM)","24K","Vàng 24K","","gr","","","","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"49","02/07/2021","XKNL.T07-002","Xuất 9L0007 Lượng vàng 24K Đợt 2 (CML duyệt ngày 28/06/2021 08:40AM)","24K","Vàng 24K","","gr","","","337.52","Tùng-Bóng","Xuất nhập Kho NVL (Chị Trân)"
"50","12/07/2021","XKNL.T07-005","Xuất 5.0027Lượng vàng 24K","24K","Vàng 24K","","gr","","187.51","","Tùng-Bóng",""
