"[HPVN-KHO] BẢNG THEO DÕI NHẬP XUẤT SPBH ","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Ghi chú:","Mục tồn cuối"
"","","","","","","","","","","","","","","","","","Số -1 : là số xuất NVL cho xưởng ( số xưởng nợ )"
"","","","","","","","","","","","","","","","","","Số 0: là kế thúc quy trình nhập xuất ( số xưởng trả NVL lại hết nợ )"
"CH","Số CT","Ngày","Mã SKU, MO","CHI TIẾT SẢN PHẨM","LOẠI VÀNG","ĐẦU KỲ","","NHẬP","","XUẤT","","Tồn cuối","","Ghi chú","","","Số 1 : là số sai , cần xem lại"
"","","","","","","SỐ 
LƯỢNG ","TL THỰC TẾ","SỐ 
LƯỢNG ","TL THỰC TẾ","SỐ 
LƯỢNG ","TL THỰC TẾ","SỐ 
LƯỢNG ","Chênh lệch ","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","XK-SR/23.0203","15/02/2023","203846","DERMT: WHT 24RD/0.424ct 2.48g E10042-4.5mm","18K","","","","","1","3.4","0","-0.11","","","",""
"","XK-SR/23.0203","15/02/2023","203813","DRIMT:WHT 20RD/0.259ct 2.48g B10169-4.0mm","18K","","","","","1","2.33","0","0.03","","","",""
"","XK-SR/23.0203","15/02/2023","203810","DRIMT:WHT 26RD/0.349ct 2.8g B10343-4.5mm","18K","","","","","1","2.55","0","0","","","",""
"","XK-SR/23.0203","15/02/2023","203724","DRIMT:18KW 96RD/0.848CT 5.76gr B2699-6.3mm-01 Size 5","18KW","","","","","1","5.18","0","0","","","",""
"","XK-SR/23.0203","15/02/2023","116107","DERMT:WHT 32RD/0.13CT DME26401-7 BKJ","18K","","","","","1","1.6","0","0","","","",""
"","XK-SR/23.0204","20/02/2023","116116","DRIMT:18KW 114RD/0.846cts 26TD/0.170cts 8.13gr B10575-5.4mm Size: 7","18K","","","","","1","8.06","0","0.19","","","",""
"","XK-SR/23.0205","27/02/2023","TL-200283","DRIMT:WHT 36RD/0.529ct 10.65g B10353-5.0mm","18K","","","","","1","10.62","-1","-10.62","Tồn tại thợ","","",""
"","XK-SR/23.0205","27/02/2023","203848","DPDMT:WHT 6RD/0.106ct 2.3g P10143-4.0mm","18K","","","","","1","2.3","-1","-2.3","Tồn tại thợ","","",""
"","XK-SR/23.0205","27/02/2023","203864","DPDMT:WHT 21RD/0.374ct 1.5g P10216-6.5mm","18K","","","","","1","1.46","-1","-1.46","Tồn tại thợ","","",""
"","XK-SR/23.0205","27/02/2023","TL-112573","DRIMT : WHT 48RD/0.37cts 2.68gr B10150-6.3","18K","","","","","1","2.63","-1","-2.63","Tồn tại thợ","","",""
"","XK-SR/23.0205","27/02/2023","116111","DERMT:WHT 22RD/0.63CT E10498 2.85G 4.0MM","18K","","","","","1","2.66","-1","-2.66","Tồn cấp phát","","",""
"","XK-SR/23.0205","27/02/2023","116112","DERMT:WHT 16RD/0.56ct 4.34g E10164","18K","","","","","1","4.21","-1","-4.21","Tồn cấp phát","","",""
"","XK-SR/23.0205","27/02/2023","116124","DRIMT:WHT 62RD+24PR/0.97CT B11498 9.74g 6.5MM","18K","","","","","1","9.29","-1","-9.29","Tồn cấp phát","","",""
"","XK-SR/23.0205","27/02/2023","116129","DRIMT:WHT 28RD/0.291ct 3.27g B2929-1","18K","","","","","1","2.97","-1","-2.97","Tồn cấp phát","","",""
"","XK-SR/23.0205","27/02/2023","116130","DERMT:WHT 32RD/0.902cts 4.61gr E10277-4.5mm","18K","","","","","1","4.41","-1","-4.41","Tồn cấp phát","","",""
"","XK-SR/23.0205","27/02/2023","116139","DRIMT:WHT 90RD/0.648ct 5.57g B11002-5.4mm","18K","","","","","1","5.42","-1","-5.42","Tồn cấp phát","","",""
"","XK-KH/23.0201","02/02/2023","23.25666","Viên xoàn mẫu 3.2MM RD-10467 của khách","X","","","","","1","","-1","0","Đã gắn chủ lên SPHT trả kho tổng","","",""
"","XK-KH/23.0202","08/02/2023","115595","DRIMT:18KW 86RD/0.775cts 4.82gr B11791-6.0mm Size: 5","18KT","","","","","1","4.82","0","-0.16","","","",""
"","XK-KH/23.0203","09/02/2023","102109","DRIMT:WHT 78RD/1.08CT 7.0MM B2895AW62D + HP1401100790","18KT","","","","","1","9.12","0","-0.08","","","",""
"","XK-KH/23.0204","21/02/2023","98635","DPDMT: 18KWY 44RD/0.327cts+24MQ/3.020cts+ 2ATP/0.070cts 19.95gr P10842 + VIÊN XOÀN CHỦ MÀU VÀNG","18KT","","","","","1","22.89","0","-2.97","","","",""
"","XK-KH/23.0204","21/02/2023","Khoen","KHOEN MẶT DÂY 1.61GR","18KT","","","","","1","1.61","0","2.93","","","",""
"","BK02/23.0225","17/02/2023","cẩm thạch","VÒNG CẨM THẠCH 22gr SO23.6988","Đ","","","","","1","21.98","-1","-21.98","Tồn cấp phát","","",""
"","BK02/23.0225","17/02/2023","22.23402","DIABL: 18KW IEMR/ 9.300cts + 198BG/31.978cts 67.46gr","18K","","","","","1","67.46","-1","-67.46","Tồn cấp phát","","",""
"","BK02/23.0225","17/02/2023","22.25167","DIANL: 18KW 497RD/19.477cts 77.62gr N10168 Size: 16 in","18K","","","","","1","77.62","0","0","","","",""
"","NK-SR/23.0201","04/02/2023","115596","DRIMT:18KW 24RD/ 1.995cts 6.37gr B11960-8.1","18KW","","","1","6.33","","","0","-0.04","","","",""
"","NK-SR/23.0201","04/02/2023","115816","DRIMT:18KW 28RD/ 0.418cts 2.28gr B12126-4.5","18KW","","","1","2.23","","","0","-0.05","","","",""
"","NK-SR/23.0201","04/02/2023","115724","DERMT:18KW 52RD/ 1.651cts 5.49gr E10715-5.3","18KW","","","1","4.96","","","0","-0.53","","","",""
"","NK-SR/23.0201","04/02/2023","114969","DERMT:18KW 40RD/ 2.417cts 7.64gr E10262-5.4","18KW","","","1","8.03","","","0","0.39","","","",""
"","NK-SR/23.0201","04/02/2023","115025","DRIMT:18KW 10PS/2.32cts 218RD/0.86cts 8.14gr B11666-7.2","18KW","","","1","8.05","","","0","-0.09","","","",""
"","NK-SR/23.0201","04/02/2023","203652","DERMT:18KW 20RD/ 0.49cts 3.37gr E10186-5.0","18KW","","","1","3.33","","","0","-0.04","","","",""
"","NK-SR/23.0202","10/02/2023","115963","DRIMT:18KW 20TD/ 2.125cts+134RD/ 2.637cts 16.92gr B11466-8.1mm Size 7.5","18KW","","","1","16.82","","","0","-0.1","","","",""
"","NK-SR/23.0202","10/02/2023","200552","DRIMT:18KW 91RD/ 1.977cts 5.62gr B10634-8.1mm","18KW","","","1","5.86","","","0","0.24","","","",""
"","NK-SR/23.0202","10/02/2023","TL-203513","DRIMT:18KW 96RD/ 1.068cts+12PS/ 1.200cts 6.97gr B11673-6.3mm Size 6","18KW","","","1","6.94","","","0","-0.03","","","",""
"","NK-SR/23.0202","10/02/2023","TL-85119","DRIMT:18KW 124RD/ 1.708cts 14.02gr B11408-9.6mm","18KW","","","1","13.75","","","0","-0.27","","","",""
"","NK-SR/23.0202","10/02/2023","TL-114615","DRIMT:18KW 8TD/ 0.521cts+16RD/2.591cts 8.31gr B12039 Size 3.25","18KW","","","1","8.3","","","0","-0.01","","","",""
"","NK-SR/23.0203","14/02/2023","203769","DRIMT:18KW 60RD/ 0.471cts 12.12gr B11318-5.4mm Size 8.5","18KW","","","1","12.12","","","0","0","","","",""
"","NK-SR/23.0203","14/02/2023","116065","DRIMT:18KW 56RD/ 0.289cts 4.39gr B11073-5.9mm Size 6","18KW","","","1","4.46","","","0","0.07","","","",""
"","NK-SR/23.0203","14/02/2023","116070","DRIMT:18KW 117RD/ 1.071cts 4.82gr B10603","18KW","","","1","4.9","","","0","0.08","","","",""
"","NK-SR/23.0203","14/02/2023","116042","DRIMT:18KW 54RD/ 1.397cts 8.33gr B10912-6.3mm Size 6","18KW","","","1","8.48","","","0","0.15","","","",""
"","NK-SR/23.0203","14/02/2023","116060","DRIMT:18KW 74RD/ 0.675cts 3.78gr B10238-6.0mm","18KW","","","1","3.73","","","0","-0.05","","","",""
"","NK-SR/23.0203","14/02/2023","115889","DRIMT:18KW 82RD/ 0.64cts 4.61gr B11000","18KW","","","1","4.71","","","0","0.1","","","",""
"","NK-SR/23.0203","14/02/2023","203764","DRIMT:18KW 6RD/ 0.203cts 2.8gr B10851-5.4mm","18KW","","","1","2.85","","","0","0.05","","","",""
"","NK-SR/23.0203","14/02/2023","116066","DRIMT:18KW 26RD/ 0.423cts 3.02gr B10901-5.0mm","18KW","","","1","3.02","","","0","0","","","",""
"","NK-SR/23.0204","17/02/2023","203827","DRIMT:18KW 84RD/ 0.804cts 5.66gr B10293-5.4mm","18KW","","","1","5.69","","","0","0.03","","","",""
"","NK-SR/23.0204","17/02/2023","116093","DRIMT:18KR 34RD/ 0.342cts 12.8gr B10566-7.2mm","18KR","","","1","12.68","","","0","-0.12","","","",""
"","NK-SR/23.0204","17/02/2023","203826","DRIMT:18KW 42RD/ 0.734cts 4.82gr B2914-6.5mm","18KW","","","1","4.87","","","0","0.05","","","",""
"","NK-SR/23.0204","17/02/2023","203770","DIARI:18KW 9RD/ 0.062cts 4.07gr B10491-5.0mm","18KW","","","1","4.09","","","0","0.02","","","",""
"","NK-SR/23.0204","17/02/2023","116038","DRIMT:18KW 84RD/ 0.373cts 5.2gr B10588","18KW","","","1","5.2","","","0","0","","","",""
"","NK-SR/23.0204","17/02/2023","203697","DRIMT:18KW 106RD/ 0.818cts 7.3gr B10508","18KW","","","1","7.22","","","0","-0.08","","","",""
"","NK-SR/23.0204","17/02/2023","115949","DRIMT:18KW 12PR/ 0.639cts 14.71gr B11678 Size 21.5mm","18KW","","","1","14.72","","","0","0.01","","","",""
"","NK-SR/23.0204","17/02/2023","115929","DRIMT:18KW 102RD/ 0.683cts 5.87gr B10508","18KW","","","1","5.78","","","0","-0.09","","","",""
"","NK-SR/23.0204","17/02/2023","116096","DRIMT:18KW 36RD/ 0.358cts 3.92gr B10473","18KW","","","1","4","","","0","0.08","","","",""
"","NK-SR/23.0205","21/02/2023","116068","18KER:18KW D/C 3.39gr","18KW","","","1","3.38","","","0","-0.01","","","",""
"","NK-SR/23.0205","21/02/2023","116056","DERMT:18KW 6RD/ 0.249cts 2.11gr E10785-5.0mm","18KW","","","1","2.08","","","0","-0.03","","","",""
