"CÔNG TY TNHH ASIANA GOLD","","","",""
"","","","",""
"DANH MỤC NGUYÊN VẬT LIỆU","","","",""
"","","","",""
"Mã hàng","Tên hàng","Tuổi vàng (K)","Tuổi","MÃ NHÓM NL"
"I. NGUYÊN LIỆU VÀNG","","","",""
"A. THÀNH PHẨM","","","",""
"CBY2.5/4.0-680","Dây bi 2.5/4.0,680Y","16K","68.00%","TP16K"
"BW70FS-750","LắcFranco vuông 0.70,750W","18K","75.00%","TP18K"
"CY40CU-750","Dây khoen lật 0.40,750Y","18K","75.00%","TP18K"
"CR40CA4-750","Dây cong khế 0.40,750R","18K","75.00%","TP18K"
"CY50FR-610","Dây Franco tròn 0.50,610Y","15K","61.00%","TP15K"
"BBY2.5/3.0-750","Lắc bi 2.5/3.0,750Y","18K","75.00%","TP18K"
"BW40FS-750","Lắc Franco vuông 0.40,750W","18K","75.00%","TP18K"
"CW40CA4-750","Dây cong khế 0.40,750W","18K","75.00%","TP18K"
"CW30CA4-750","Dây cong khế 0.30,750W","18K","75.00%","TP18K"
"CBW4.0-750","Dây bi 4.0,750W","18K","75.00%","TP18K"
"BBW6.0-750","Lắc bi 6.0,750W","18K","75.00%","TP18K"
"GBW3.0-5-750","Vòng bi 3.0-5,750W","18K","75.00%","TP18K"
"GBW3.0-3-750","Vòng bi 3.0-3,750W","18K","75.00%","TP18K"
"GBW3.0-2-750","Vòng bi 3.0-2,750W","18K","75.00%","TP18K"
"CY40HE-610","Dây mì dẹp 0.40,610Y","15K","61.00%","TP15K"
"BY40FS-610","LắcFranco vuông 0.40,610Y","15K","61.00%","TP15K"
"CBW5.0-750","Dây bi 5.0,750W","18K","75.00%","TP18K"
"CY30SS-610","Dây mì vuông 0.30,610Y","15K","61.00%","TP15K"
"BBY3.0-680","Lắc bi 3.0,680Y","16K","68.00%","TP16K"
"BBY3.0/4.0-680","Lắc bi 3.0/4.0,680Y","16K","68.00%","TP16K"
"BBY3.0/4.0/5.0-680","Lắc bi 3.0/4.0/5.0,680Y","16K","68.00%","TP16K"
"CY50FS-750","Dây Franco vuông 0.50,750Y","18K","75.00%","TP18K"
"CBY4.0-610","Dây bi 4.0,610Y","15K","61.00%","TP15K"
"BBY6.0-610","Lắc bi 6.0,610Y","15K","61.00%","TP15K"
"BY35FS-680","LắcFranco vuông 0.35,680Y","16K","68.00%","TP16K"
"GBY4.0/6.0/8.0-680","Vòng bi 4.0/6.0/8.0,680Y","16K","68.00%","TP16K"
"BBY4.0/6.0/8.0-680","Lắc bi 4.0/6.0/8.0,680Y","16K","68.00%","TP16K"
"CW30SS-750","Dây mì vuông 0.30,750W","18K","75.00%","TP18K"
"BY70FS-610","LắcFranco vuông 0.70,610Y","15K","61.00%","TP15K"
"CBY6.0-610","Dây bi 6.0,610Y","15K","61.00%","TP15K"
"C50CU-24K","Dây khoen lật 0.50,24K","24K","99.99%","TP24K"
"BBW5.0-750","Lắc bi 5.0,750W","18K","75.00%","TP18K"
"BBW3.0/4.0/5.0-750","Lắc bi 3.0/4.0/5.0,750W","18K","75.00%","TP18K"
"BBY3.0/4.0/5.0/6.0-680","Lắc bi 3.0/4.0/5.0/6.0,680Y","16K","68.00%","TP16K"
"BBY3.0/5.0/6.0-680","Lắc bi 3.0/5.0/6.0,680Y","16K","68.00%","TP16K"
"BBY3.0/4.0/6.0-610","Lắc bi 3.0/4.0/6.0,610Y","15K","61.00%","TP15K"
"BBW3.0/8.0-750","Lắc bi 3.0/8.0,750W","18K","75.00%","TP18K"
"CR60CA1-708","Dây chữ cong 0.60,708R","17K","70.80%","TP17K"
"BBW2.5/6.0-750","Lắc bi 2.5/6.0,750W","18K","75.00%","TP18K"
