"CÔNG TY TNHH ASIANA GOLD","","","",""
"","","","",""
"DANH MỤC NGUYÊN VẬT LIỆU","","","",""
"","","","",""
"Mã hàng","Tên hàng","Tuổi vàng (K)","Tuổi","MÃ NHÓM NL"
"I. NGUYÊN LIỆU VÀNG","","","",""
"A. THÀNH PHẨM","","","",""
"BI30BAC92.5","Bi bạc 3.0","BAC92.5","92.50%","BTPBIBAC92.5"
"BIS30BAC92.5","Bi chữ S 3.0","BAC92.5","92.50%","BTPBIBAC92.5"
"BIX30BAC92.5","Bi xoáy 3.0","BAC92.5","92.50%","BTPBIBAC92.5"
"BIS40BAC92.5","Bi chữ S 4.0","BAC92.5","92.50%","BTPBIBAC92.5"
"BIS60BAC92.5","Bi chữ S 6.0","BAC92.5","92.50%","BTPBIBAC92.5"
"BI25BAC92.5","Bi bạc 2.5","BAC92.5","92.50%","BTPBIBAC92.5"
"BICR30BAC92.5","Bi caro 3.0","BAC92.5","92.50%","BTPBIBAC92.5"
"BICR60BAC92.5","Bi caro 6.0","BAC92.5","92.50%","BTPBIBAC92.5"
"BIS80BAC92.5","Bi 8.0 chữ S","BAC92.5","92.50%","BTPBIBAC92.5"
"PKKGNBAC92.5","Phụ kiện khóa giọt nước,BAC92.5","BAC92.5","92.50%","PKBAC92.5"
"PKLLBAC92.5","Phụ kiện lưỡi lam,BAC92.5","BAC92.5","92.50%","PKBAC92.5"
"PKCOKBAC92.5","Phụ kiện cò khóa,BAC92.5","BAC92.5","92.50%","PKBAC92.5"
"PKBSDBAC92.5","Phụ kiện bass dẹp,BAC92.5","BAC92.5","92.50%","PKBAC92.5"
"PKBSTBAC92.5","Phụ kiện bass tròn,BAC92.5","BAC92.5","92.50%","PKBAC92.5"
"PKCKHBAC92.5","Phụ kiện chỉ làm khoen,BAC92.5","BAC92.5","92.50%","PKBAC92.5"
"DDC30BAC92.5","Dây chữ cong 0.3,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDC40BAC92.5","Dây chữ cong 0.4,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDC50BAC92.5","Dây chữ cong 0.5,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDC60BAC92.5","Dây chữ cong 0.6,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDC70BAC92.5","Dây chữ cong 0.7,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDC80BAC92.5","Dây chữ cong 0.8,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDCK30BAC92.5","Dây cong khế 0.3,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDCK40BAC92.5","Dây cong khế 0.4,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDCK50BAC92.5","Dây cong khế 0.5,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDCK60BAC92.5","Dây cong khế 0.6,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDCK70BAC92.5","Dây cong khế 0.7,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDL30BAC92.5","Dây khoen lật 0.3,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDL35BAC92.5","Dây khoen lật 0.35,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDL40BAC92.5","Dây khoen lật 0.4,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDL50BAC92.5","Dây khoen lật 0.5,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDL60BAC92.5","Dây khoen lật 0.6,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDL70BAC92.5","Dây khoen lật 0.7,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDL80BAC92.5","Dây khoen lật 0.8,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDLD60BAC92.5","Dây lật đôi 0.6,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDMT40BAC92.5","Dây mì tròn 0.4,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"","","","",""
"DDMX130BAC92.5","Dây mì dẹp xoắn 0.3,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDFV35BAC92.5","Dây Franco vuông 0.35,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDFV40BAC92.5","Dây Franco vuông 0.4,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDFV50BAC92.5","Dây Franco vuông 0.5,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDFV60BAC92.5","Dây Franco vuông 0.6,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDFV70BAC92.5","Dây Franco vuông 0.7,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDMD30BAC92.5","Dây mì dẹp 0.3,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDMD40BAC92.5","Dây mì dẹp 0.4,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDMD50BAC92.5","Dây mì dẹp 0.50,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDMX140BAC92.5","Dây mì dẹp xoắn 0.40,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"DDMV30BAC92.5","Dây mì vuông 0.3,BAC92.5","BAC92.5","92.50%","BTPDAYBAC92.5"
"CW30CA4-BAC92.5","Dây cong khế 0.3,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"","","","",""
"CW50CA1-BAC92.5","Dây chữ cong 0.5,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CW60CA1-BAC92.5","Dây chữ cong 0.6,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CW80CA1-BAC92.5","Dây chữ cong 0.8,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CW70CA4-BAC92.5","Dây cong khế 0.7,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CW30HT1-BAC92.5","Dây mì dẹp xoắn 0.3,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CW30CA1-BAC92.5","Dây chữ cong 0.3,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CW70CU-BAC92.5","Dây khoen lật 0.7,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CW50CU-BAC92.5","Dây khoen lật 0.5,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CBW6.0-BAC92.5","Dây bi 6,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"BBW6.0-BAC92.5","Lắc bi 6,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CW60CA4-BAC92.5","Dây cong khế 0.6,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CW40CA4-BAC92.5","Dây cong khế 0.4,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CW60CU-BAC92.5","Dây khoen lật 0.6,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CBW4.0-BAC92.5","Dây bi 4,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"BBW4.0-BAC92.5","Lắc bi 4,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"GBW6.0-BAC92.5","Vòng bi 6,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"GBW4.0/6.0-BAC92.5","Vòng bi 4.0/6.0,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"BBW3.0-BAC92.5","Lắc bi 3,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CBW3.0-BAC92.5","Dây bi 3,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"BBW3.0/8.0-BAC92.5","Lắc bi 3.0/8.0,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"GBW3.0-BAC92.5","Vòng bi 3,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CW30HE-B3-BAC92.5","Dây mì dẹp 0.3 bện 3,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CW30HE-B4-BAC92.5","Dây mì dẹp 0.3 bện 4,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CW30HE-B6-BAC92.5","Dây mì dẹp 0.3 bện 6,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CW50CA4-BAC92.5","Dây cong khế 0.5,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CW35FS-BAC92.5","Dây Franco vuông 0.35,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CW60FS-BAC92.5","Dây Franco vuông 0.6,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CW70FS-BAC92.5","Dây Franco vuông 0.7,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CW50FS-BAC92.5","Dây Franco vuông 0.5,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"BW50FS-BAC92.5","LắcFranco vuông 0.5,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CW40FS-BAC92.5","Dây Franco vuông 0.4,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"BW40FS-BAC92.5","LắcFranco vuông 0.4,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CW30SS-BAC92.5","Dây mì vuông 0.3,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CW40HE-BAC92.5","Dây mì dẹp 0.4,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"CW60HE-BAC92.5","Dây mì dẹp 0.6,BAC92.5W","BAC92.5","92.50%","TPBAC92.5"
"III. NGUYÊN VẬT LIỆU PT","","","",""
"NLPT900","Nguyên liệu PT900","PT900-IR","90.00%","NLPT900"
"NL-PD-PT900","Nguyên liệu PT900-PD","PT900-PD","90.00%","NLPT900-PD"
"NLPT950","Nguyên liệu PT950","PT950-IR","95.00%","NLPT950"
"NL-PD-PT950","Nguyên liệu PT950-PD","PT950-PD","95.00%","NLPT950-PD"
"NLPT99","Nguyên liệu PT99","PT99","99.00%","NLPT99"
"NLPT999","Nguyên liệu PT999","PT999","99.90%","NLPT999"
"NLPT9999","Nguyên liệu PT9999","PT9999","99.99%","NLPT9999"
"NLPTPK","Nguyên liệu PT phân kim","PTPK","","NLPTPK"
"NLPD","Nguyên liệu Palladium","PD","","NLPD"
"PKKGNPT900","Khóa giọt nước PT900","PT900-IR","90.00%","PKPT900"
"PKKGN-PD-PT900","Khóa giọt nước PT900-PD","PT900-PD","90.00%","PKPT900-PD"
"PKKGNPT950","Khóa giọt nước PT950","PT950-IR","95.00%","PKPT950"
"PKKGN-PD-PT950","Khóa giọt nước PT950-PD","PT950-PD","95.00%","PKPT950-PD"
"PKCOKPT900","Cò khóa PT900","PT900-IR","90.00%","PKPT900"
"PKCOK-PD-PT900","Cò khóa PT900-PD","PT900-PD","90.00%","PKPT900-PD"
"PKCOKPT950","Cò khóa PT950","PT950-IR","95.00%","PKPT950"
"PKCOK-PD-PT950","Cò khóa PT950-PD","PT950-PD","95.00%","PKPT950-PD"
"PKLLPT900","Lưỡi lam PT900","PT900-IR","90.00%","PKPT900"
"PKLL-PD-PT900","Lưỡi lam PT900-PD","PT900-PD","90.00%","PKPT900-PD"
"PKLL-PD-PT950","Lưỡi lam PT950-PD","PT950-PD","95.00%","PKPT950-PD"
"PKBSDPT900","Bass dẹp PT900","PT900-IR","90.00%","PKPT900"
"PKBSD-PD-PT900","Bass dẹp PT900-PD","PT900-PD","90.00%","PKPT900-PD"
"PKCKHPT900","Chỉ khoen PT900","PT900-IR","90.00%","PKPT900"
"PKCKH-PD-PT900","Chỉ khoen PT900-PD","PT900-PD","90.00%","PKPT900-PD"
"PKCKHPT950","Chỉ khoen PT950","PT950-IR","95.00%","PKPT950"
"PKCKH-PD-PT950","Chỉ khoen PT950-PD","PT950-PD","95.00%","PKPT950-PD"
"CPT30FS-900","Dây Franco vuông 0.3,900PT","PT900-IR","90.00%","TPPT900"
"NLBOTPT900","Nguyên liệu Bột PT900","PT900-IR","90.00%","BOTPT900"
"NLBOT-PD-PT900","Nguyên liệu Bột PT900-PD","PT900-PD","90.00%","BOTPT900-PD"
"NLBOTPT950","Nguyên liệu PT950","PT950-IR","95.00%","BOTPT950"
"NLBOT-PD-PT950","Nguyên liệu PT950-PD","PT950-PD","95.00%","BOTPT950-PD"
"DDC40PT900","Dây chữ cong 0.40, PT900","PT900-IR","90.00%","BTPDAYPT900"
"DDC-PD-35PT900","Dây chữ cong 0.35, PT900-PD","PT900-PD","90.00%","BTPDAYPT900-PD"
"DDC-PD-40PT900","Dây chữ cong 0.40, PT900-PD","PT900-PD","90.00%","BTPDAYPT900-PD"
"DDC-PD-45PT900","Dây chữ cong 0.45, PT900-PD","PT900-PD","90.00%","BTPDAYPT900-PD"
"DDC-PD-60PT900","Dây chữ cong 0.60, PT900-PD","PT900-PD","90.00%","BTPDAYPT900-PD"
"DDC50PT950","Dây chữ cong 0.50, PT950","PT950-IR","95.00%","BTPDAYPT950"
"DDCK40PT900","Dây cong khế 0.40, PT900","PT900-IR","90.00%","BTPDAYPT900"
"DDCK-PD-35PT900","Dây cong khế 0.35, PT900-PD","PT900-PD","90.00%","BTPDAYPT900-PD"
"DDCK-PD-40PT900","Dây cong khế 0.40,PT900-PD","PT900-PD","90.00%","BTPDAYPT900-PD"
"DDCK-PD-45PT900","Dây cong khế 0.45,PT900-PD","PT900-PD","90.00%","BTPDAYPT900-PD"
"DDCK-PD-60PT900","Dây cong khế 0.60,PT900-PD","PT900-PD","90.00%","BTPDAYPT900-PD"
"DDCK50PT950","Dây cong khế 0.50, PT950","PT950-IR","95.00%","BTPDAYPT950"
"DDCK-PD-50PT950","Dây cong khế 0.50, PT950-PD","PT900-PD","95.00%","BTPDAYPT950-PD"
"DDL-PD-30PT900","Dây khoen lật 0.30, PT900-PD","PT900-PD","90.00%","BTPDAYPT900-PD"
"DDL-PD-40PT900","Dây khoen lật 0.40, PT900-PD","PT900-PD","90.00%","BTPDAYPT900-PD"
"DDL-PD-50PT900","Dây khoen lật 0.50, PT900-PD","PT900-PD","90.00%","BTPDAYPT900-PD"
"DDL-PD-60PT900","Dây khoen lật 0.60, PT900-PD","PT900-PD","90.00%","BTPDAYPT900-PD"
"DDL-PD-70PT900","Dây khoen lật 0.70, PT900-PD","PT900-PD","90.00%","BTPDAYPT900-PD"
"DDFV-PD-40PT900","Dây Franco vuông 0.40,PT900-PD","PT900-PD","90.00%","BTPDAYPT900-PD"
"DDFV-PD-45PT900","Dây Franco vuông 0.45,PT900-PD","PT900-PD","90.00%","BTPDAYPT900-PD"
"DDFV-PD-50PT900","Dây Franco vuông 0.50,PT900-PD","PT900-PD","90.00%","BTPDAYPT900-PD"
"C40CA4-PT900","Dây cong khế 0.40, PT900","PT900-IR","90.00%","TPPT900"
"C40CA4-PD-PT900","Dây cong khế 0.40, PT900-PD","PT900-PD","90.00%","TPPT900-PD"
"BW40FS-PD-PT900","Lắc Franco vuông 0.40, PT900-PD","PT900-PD","90.00%","TPPT900-PD"
"CW40FS-PD-PT900","Dây Franco vuông 0.40,PT900-PD","PT900-PD","90.00%","TPPT900-PD"
"CW50FS-PD-PT900","Dây Franco vuông 0.50,PT900-PD","PT900-PD","90.00%","TPPT900-PD"
"CW35CA4-PD--PT900","Dây cong khế 0.35, PT900-PD","PT900-PD","90.00%","TPPT900-PD"
"CW45CA4-PD--PT900","Dây cong khế 0.45, PT900-PD","PT900-PD","90.00%","TPPT900-PD"
"CW60CA4-PD--PT900","Dây cong khế 0.60, PT900-PD","PT900-PD","90.00%","TPPT900-PD"
"CW40CA4-PD--PT900","Dây cong khế 0.40, PT900-PD","PT900-PD","90.00%","TPPT900-PD"
"CW45FS-PD--PT900","Thành phẩm Dây Franco vuông 0.45,PT900-PD","PT900-PD","90.00%","TPPT900-PD"
"CW50FS-PD--PT900","Thành phẩm Dây Franco vuông 0.50,PT900-PD","PT900-PD","90.00%","TPPT900-PD"
"CW50CU-PD--PT900","Thành phẩm Dây khoen lật 0.50,PT900-PD","PT900-PD","90.00%","TPPT900-PD"
"CW70CU-PD--PT900","Thành phẩm Dây khoen lật 0.70,PT900-PD","PT900-PD","90.00%","TPPT900-PD"
"CW60CU-PD--PT900","Thành phẩm Dây khoen lật 0.60,PT900-PD","PT900-PD","90.00%","TPPT900-PD"
"CBW3.0CU-PD-PT900","Dây bi 3, PT900-PD","PT900-PD","90.00%","TPPT900-PD"
"CW50CA4-PD--PT950","Dây cong khế 0.50, PT950-PD","PT950-PD","95.00%","TPPT950-PD"
"CW50CA4-PD--PT970","Dây cong khế 0.50, PT970-PD","PT970-PD","97.00%","TPPT970-PD"
"III. NGUYÊN VẬT LIỆU THAU LÁ","","","",""
"THAULA","Nguyên liệu Thau lá","","",""
"III. NGUYÊN VẬT LIỆU ĐỒNG LÁ","","","",""
"DONGLA","Nguyên liệu Đồng lá","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","","750W"
"","","","","750W"
"","","","",""
"","","","","750W"
"","","","",""
"","","","",""
"","","","","750W"
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","","610W"
