"BÁO CÁO TRẠNG THÁI ĐƠN HÀNG","","","","","","","","","","","","","","","","","","","",""
"Cập nhật đến ngày 10 tháng 07 năm 2026","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","TRẠNG THÁI ĐƠN HÀNG","CHƯA HOÀN TẤT","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"STT","THÁNG","NGÀY ĐẶT HÀNG","CỬA HÀNG","","SỐ PO","","MÃ SẢN PHẨM","TÊN GỌI","LOẠI VÀNG","SL ĐẶT HÀNG
(Viên/Sợi)","TRỌNG LƯỢNG
(Gr)","DEADLINE ĐƠN HÀNG","TIẾN ĐỘ HOÀN THÀNH","SL ĐÃ GIAO","TL ĐÃ GIAO","SL CHƯA HT","TL CHƯA HT","TL quy 24K (L)","CÁCH NGÀY DEADLINE
(Ngày)","CẢNH BÁO"
"55","THÁNG 06","06/04/2025","CH2","SR","[DHAG-25/06/01]","DD","CY50FS","DÂY FRANCO VUÔNG 0.50MM","750Y","10","90.00","","","","","","","","",""
"56","THÁNG 06","06/04/2025","CH2","SR","[DHAG-25/06/01]","DD","CY70FS","DÂY FRANCO VUÔNG 0.70MM","750Y","10","185.00","","","","","","","","",""
"57","THÁNG 06","06/04/2025","CH2","SR","[DHAG-25/06/01]","DD","CW35FS","DÂY FRANCO VUÔNG 0.35","750W","10","40.00","","","","","","","","",""
"58","THÁNG 06","06/04/2025","CH2","SR","[DHAG-25/06/01]","DD","CW70FS","DÂY FRANCO VUÔNG 0.70","750W","10","185.00","","","5","11.00","","","","",""
"59","THÁNG 06","06/04/2025","CH2","SR","[DHAG-25/06/01]","BB","GBY3.0","Vòng bi 2 tầng khắc chữ S cong","750Y","5","62.50","","","5","31.35","","","","",""
"60","THÁNG 06","06/04/2025","CH2","SR","[DHAG-25/06/01]","BB","CBW2.5","Dây Bi : Size 2.5mm Khắc Kim Cương","750W","5","93.50","","","","","","","","",""
"61","THÁNG 06","06/04/2025","CH2","SR","[DHAG-25/06/01]","BB","CBW2.5","Dây Bi : Size 2.5mm Khắc Xoáy","750W","5","93.50","","","3","106.59","","","","",""
"62","THÁNG 06","06/04/2025","CH2","SR","[DHAG-25/06/01]","BB","BBW2.54","Lắc bi : Size 2.5/4 Khắc kim cương","750W","6","39.00","","","","","","","","",""
"63","THÁNG 06","06/04/2025","CH2","SR","[DHAG-25/06/01]","BB","BBW46","Lắc bi : Size 4/6 khắc dưa hấu","750W","6","51.60","","","","","","","","",""
"64","THÁNG 06","06/04/2025","CH2","SR","[DHAG-25/06/01]","BB","GBW3.0","Vòng bi 1 tầng khắc lồng đèn","750W","5","29.00","","","","","","","","",""
"","THÁNG 06","","PKD SĨ","Chào hàng","[DHAG-25/06/08]","DD","CW40CA4","DÂY CONG KHÊ 0.40","PT900","5","16.94","","","","","5","16.94","#VALUE!","",""
